,Res
2013-03-15,105.22621330403223
2013-03-18,105.2462156715594
2013-03-19,105.22750524520681
2013-03-20,105.24474939004791
2013-03-21,105.248137114491
2013-03-22,105.27321997434359
2013-03-25,105.28292182609063
2013-03-26,105.27304612360588
2013-03-27,105.27330991558857
2013-03-28,105.27449297702717
2013-03-29,105.2840422058774
2013-04-01,105.31390912889698
2013-04-02,105.38089587805726
2013-04-03,105.37193166260518
2013-04-04,105.41108192505327
2013-04-05,105.46413806349467
2013-04-08,105.5178602527289
2013-04-09,105.53109521266471
2013-04-10,105.52686633385557
2013-04-11,105.51864779190454
2013-04-12,105.53257893957944
2013-04-15,105.51778686500892
2013-04-16,105.52756975026577
2013-04-17,105.55876478841276
2013-04-18,105.49754820102832
2013-04-19,105.49098279949234
2013-04-22,105.52230929101748
2013-04-23,105.50940914621182
2013-04-24,105.49903035090212
2013-04-25,105.48513078265043
2013-04-26,105.4919843792838
2013-04-29,105.47724806783826
2013-04-30,105.47971777230367
2013-05-01,105.48107868878371
2013-05-02,105.4782232294727
2013-05-03,105.49530225189008
2013-05-06,105.49250839226127
2013-05-07,105.50947199791727
2013-05-08,105.521620005985
2013-05-09,105.5011964429511
2013-05-10,105.46694018876057
2013-05-13,105.45998578895608
2013-05-14,105.43442316437799
2013-05-15,105.48159666959693
2013-05-16,105.56034674825575
2013-05-17,105.59435873903402
2013-05-20,105.6352272459658
2013-05-21,105.6520788063844
2013-05-22,105.68051302067515
2013-05-23,105.74304452853927
2013-05-24,105.70216440744558
2013-05-27,105.72417155945776
2013-05-28,105.8116549975461
2013-05-29,105.8697897973751
2013-05-30,105.89824581209827
2013-05-31,105.90206777761107
2013-06-03,105.92272751426037
2013-06-04,105.91210937990395
2013-06-05,105.93166761310032
2013-06-06,105.9423320274016
2013-06-07,105.96171911743639
2013-06-10,106.08882376851093
2013-06-11,106.13362016862648
2013-06-12,106.09268523905114
2013-06-13,106.10398565440063
2013-06-14,106.07371445439021
2013-06-17,106.09811141275492
2013-06-18,106.17738406389518
2013-06-19,106.07200720100326
2013-06-20,106.0693102376755
2013-06-21,106.0308116599709
2013-06-24,106.0209350592762
2013-06-25,106.0129906736245
2013-06-26,106.08692082086459
2013-06-27,106.10602502978395
2013-06-28,106.02293999418471
2013-07-01,106.02483088221946
2013-07-02,106.03827948725306
2013-07-03,106.0590129105831
2013-07-04,106.0205055888998
2013-07-05,106.02673860996454
2013-07-08,106.07008759411038
