,Total_Excl_Signals
2008-01-29,172.12452703683323
2008-01-30,172.1213403988424
2008-01-31,172.13935938420647
2008-02-01,172.57076819666048
2008-02-04,172.80786212927657
2008-02-05,171.8734913763001
2008-02-06,171.72782425788563
2008-02-07,171.45573543600725
2008-02-08,171.151699482732
2008-02-11,171.38229671690564
2008-02-12,171.94981293348854
2008-02-13,172.01462801893936
2008-02-14,172.3405643549383
2008-02-15,172.5446009872866
2008-02-18,172.9885927603495
2008-02-19,172.70947363934204
2008-02-20,172.09203343604378
2008-02-21,172.80801542640796
2008-02-22,172.83199816745397
2008-02-25,173.34026049347585
2008-02-26,174.16513822037135
2008-02-27,175.0594773486209
2008-02-28,175.1022020682918
2008-02-29,174.3940344144053
2008-03-03,174.42731598710253
2008-03-04,174.0023190132322
2008-03-05,174.66736647132677
2008-03-06,174.06560034221513
2008-03-07,173.68564960703577
2008-03-10,173.43952682249608
2008-03-11,174.42960339616332
2008-03-12,174.84382532076728
2008-03-13,174.54111264721524
2008-03-14,173.94051027587724
2008-03-17,172.87093847504747
2008-03-18,174.24145639961947
2008-03-19,173.97126723636316
2008-03-20,173.3785256678891
2008-03-21,173.48044492371426
2008-03-24,173.67477663266334
2008-03-25,174.07502413825134
2008-03-26,174.17620177139446
2008-03-27,174.57253025354132
2008-03-28,173.93951441155218
2008-03-31,173.74035328131572
2008-04-01,174.28255021012438
2008-04-02,175.14644395336853
2008-04-03,175.37326107431963
2008-04-04,175.52402981304675
2008-04-07,176.06676627540148
2008-04-08,175.8104298587583
2008-04-09,175.7908200605793
2008-04-10,176.26376530515438
2008-04-11,175.8387938995372
2008-04-14,176.02889288855167
2008-04-15,175.50269899242832
2008-04-16,175.61477454077942
2008-04-17,175.65006708513437
2008-04-18,175.66158276859966
2008-04-21,175.55475375169172
2008-04-22,175.91447104732765
2008-04-23,176.35676767607404
2008-04-24,175.86647747738868
2008-04-25,175.60821704240323
2008-04-28,175.72538470745477
2008-04-29,174.86642793377925
2008-04-30,175.57824234684875
2008-05-01,175.35582147855283
2008-05-02,175.68303183787893
2008-05-05,175.72445573274865
2008-05-06,175.76798549865163
2008-05-07,175.31051062246877
2008-05-08,174.51881990735404
2008-05-09,174.753080818235
2008-05-12,175.21251934034552
2008-05-13,175.3435879122235
2008-05-14,174.79020260864365
2008-05-15,175.08722711327815
2008-05-16,175.8373608314841
2008-05-19,175.8636643356207
2008-05-20,175.4830134931576
2008-05-21,175.51594952078327
2008-05-22,175.1038642823813
2008-05-23,175.163967061719
2008-05-26,175.00347762764193
2008-05-27,174.66452144041025
2008-05-28,175.31916953855648
2008-05-29,176.09527233438433
2008-05-30,176.23030624798508
2008-06-02,175.82844626575084
2008-06-03,176.40823532605302
2008-06-04,176.07544248128963
2008-06-05,176.19154650625887
2008-06-06,175.86136453923842
2008-06-09,175.91470869112436
2008-06-10,175.2544381227811
2008-06-11,175.1086831186378
2008-06-12,174.89685797022292
2008-06-13,174.89279007764205
2008-06-16,175.32225610775944
2008-06-17,176.40382930996284
2008-06-18,176.49616887254982
2008-06-19,176.49161694779175
2008-06-20,176.4631266239276
2008-06-23,175.69239108164683
2008-06-24,175.72615964109187
2008-06-25,176.03454140758853
2008-06-26,175.3777892537169
2008-06-27,175.13631574134467
2008-06-30,175.01661539328578
2008-07-01,174.69659656707387
2008-07-02,175.71159073454416
2008-07-03,176.32770059089222
2008-07-04,176.66559186612508
2008-07-07,177.07827987853642
2008-07-08,177.37685973941933
2008-07-09,178.27540544765782
2008-07-10,178.2452380626683
2008-07-11,178.22256494312157
2008-07-14,178.87735404398214
2008-07-15,178.76034750966787
2008-07-16,179.14366115560347
2008-07-17,179.66768494507718
2008-07-18,179.63472751627162
2008-07-21,179.8664832490858
2008-07-22,179.5750436883772
2008-07-23,179.60516152594232
2008-07-24,179.76535080815935
2008-07-25,180.07190813862104
2008-07-28,180.03072386505613
2008-07-29,180.1239802533829
2008-07-30,180.17853837462576
2008-07-31,180.17151494865135
2008-08-01,180.7392318015233
