,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_ARSUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2012-09-07,293.96254867889115,167.80590788045623,129.44474015535422,184.48979898671263,106.71775014049673,109.57131091588978,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.67966103455547
2012-09-10,293.96254867889115,167.80590788045623,129.44474015535422,184.71216540275933,106.73974979600193,109.57823062778698,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.67966103455547
2012-09-11,293.96254867889115,167.80590788045623,129.44474015535422,184.58791382868785,106.76255529969356,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.67966103455547
2012-09-12,292.50511027441206,167.80590788045623,129.44474015535422,184.10489476793634,106.78560255784147,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.33607487895061
2012-09-13,293.3539879882933,167.80590788045623,129.44474015535422,185.38283803224016,106.80961683381365,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.52636572603331
2012-09-14,294.6116997659762,167.80590788045623,129.44474015535422,185.08900398936467,107.96995763826895,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.78065198155807,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.44597203445528,63.912575069310726
2012-09-17,291.8187297053259,167.80590788045623,129.44474015535422,184.2975510705433,107.99284372677995,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.10285682556318,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.09130045583432,63.309240213129165
2012-09-18,293.1244650899397,167.80590788045623,129.44474015535422,184.94341422385395,108.01774443575792,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.02530539715042,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.0633413467183,62.955556774039486
2012-09-19,293.1400123008163,167.80590788045623,129.44474015535422,184.66530305888105,108.04272572955435,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.02530539715042,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.083892913097394,62.71121505978175
2012-09-20,293.52650444676453,167.80590788045623,129.44474015535422,185.21203040411902,108.06537006360907,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.02530539715042,118.2882461622871,96.85936130865451,120.3922021445886,52.06678268592335,50.201341124359736,62.53116208283439
2012-09-21,293.41974693207646,167.80590788045623,129.44474015535422,184.83110795312285,108.08720854947644,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.29121883458292,161.80400577646802,155.02530539715042,118.2882461622871,96.85936130865451,120.3922021445886,51.85650344910752,50.33395359819348,62.813593761136765
2012-09-24,292.894481533486,167.80590788045623,128.8118671904903,184.5541198508573,108.10896645052534,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.20053926847552,161.80400577646802,155.02530539715042,118.2882461622871,97.08659618509373,120.3922021445886,52.06306475838428,50.2231148105844,62.7821869642562
2012-09-25,292.2467962448045,167.80590788045623,129.60600872123115,184.99650446092616,107.44623690153979,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.26064090711365,161.80400577646802,155.02530539715042,118.2882461622871,96.9018087879864,120.3922021445886,52.09189966926762,49.911998015661695,62.7821869642562
2012-09-26,291.6419521594289,167.80590788045623,129.1369188663808,185.17027289072908,107.4675918784955,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.33085235781398,161.80400577646802,155.02530539715042,118.2882461622871,97.24842961907741,120.3922021445886,52.07380826429616,49.79275403646317,62.7821869642562
2012-09-27,291.49613118334923,167.80590788045623,129.64208724977365,185.18456641609484,107.48902744026965,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.33570825179666,161.80400577646802,155.02530539715042,118.2882461622871,97.29512848092463,120.3922021445886,52.32674773789067,49.76785765944494,62.7821869642562
2012-09-28,291.49613118334923,167.80590788045623,129.46500582956787,184.6813322266123,107.44269116951752,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.60469293651106,161.80400577646802,155.02530539715042,118.2882461622871,96.92493415047106,120.3922021445886,52.46365653312658,49.76785765944494,62.7821869642562
2012-10-01,291.49613118334923,167.80590788045623,129.79626604765514,184.7148199146116,107.46461024020336,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.61886259436223,161.80400577646802,155.02530539715042,118.2882461622871,97.03065594469739,120.3922021445886,52.32199670123112,49.76785765944494,62.7821869642562
2012-10-02,291.49613118334923,167.80590788045623,129.5982135515852,184.62246250465432,107.55510699160281,109.5234415124731,575.4309651311164,78.38927452828459,245.82464820412022,90.62411651244174,161.80400577646802,155.02530539715042,118.2882461622871,96.6647578549007,120.3922021445886,52.23174932344435,49.76785765944494,62.7821869642562
