,Return_Incl_Costs_ARSUSD Curncy
2007-06-06,160.96557687409
2007-06-07,160.96557687409
2007-06-08,160.96557687409
2007-06-11,160.96557687409
2007-06-12,160.96557687409
2007-06-13,160.96557687409
2007-06-14,160.96557687409
2007-06-15,160.96557687409
2007-06-18,160.96557687409
2007-06-19,160.96557687409
2007-06-20,160.96557687409
2007-06-21,161.0277639447562
2007-06-22,161.05545520188366
2007-06-25,161.11984628991047
2007-06-26,161.36463265846336
2007-06-27,161.47582166732894
2007-06-28,161.3882024565355
2007-06-29,161.37125488144838
2007-07-02,161.45885568620952
2007-07-03,161.41635888280683
2007-07-04,161.373543570183
2007-07-05,161.88667487861895
2007-07-06,162.1544468296069
2007-07-09,162.09851223227065
2007-07-10,161.98062558323605
2007-07-11,161.80184031903696
2007-07-12,161.73034862999677
2007-07-13,161.75280225077927
2007-07-16,161.78568677366988
2007-07-17,161.84449138562601
2007-07-18,161.69782884102477
2007-07-19,161.6600929442573
2007-07-20,161.99863380583244
2007-07-23,162.90417874436653
2007-07-24,163.52240383267434
2007-07-25,165.45954888681516
2007-07-26,163.51465393438912
2007-07-27,162.24418003590748
2007-07-30,162.38340377300239
2007-07-31,162.3022120711159
2007-08-01,162.3022120711159
2007-08-02,162.3022120711159
2007-08-03,162.3022120711159
2007-08-06,162.2161640794016
2007-08-07,162.2578712647258
2007-08-08,161.87977956266
2007-08-09,162.23926612235047
2007-08-10,162.38966429335534
2007-08-13,162.15964871158454
2007-08-14,162.20439297796406
2007-08-15,162.480424175582
2007-08-16,163.11999555680237
2007-08-17,162.38510417824835
2007-08-20,162.30391162615925
2007-08-21,162.30391162615925
2007-08-22,162.30391162615925
2007-08-23,162.30391162615925
2007-08-24,162.30391162615925
2007-08-27,162.30391162615925
2007-08-28,162.30391162615925
2007-08-29,162.30391162615925
2007-08-30,162.30391162615925
2007-08-31,162.30391162615925
2007-09-03,162.30391162615925
2007-09-04,162.00930925481478
2007-09-05,161.9114120563791
2007-09-06,162.12032517102625
2007-09-07,162.261425364842
2007-09-10,162.1802946521596
2007-09-11,162.1802946521596
2007-09-12,162.1802946521596
2007-09-13,162.1802946521596
2007-09-14,162.1802946521596
2007-09-17,162.1802946521596
2007-09-18,162.1802946521596
2007-09-19,162.1802946521596
2007-09-20,162.1802946521596
2007-09-21,162.1802946521596
2007-09-24,162.1802946521596
2007-09-25,162.1802946521596
2007-09-26,162.1802946521596
2007-09-27,162.3183379271179
2007-09-28,162.18243480948982
2007-10-01,162.10658083951182
2007-10-02,161.97273891924738
2007-10-03,162.02289153118716
2007-10-04,162.37610570342287
2007-10-05,162.23120062523233
2007-10-08,162.41032517640497
2007-10-09,162.07405185533636
2007-10-10,162.46639194660924
2007-10-11,162.17734959248247
2007-10-12,162.15632756057207
2007-10-15,162.15007089201166
2007-10-16,162.46197583630328
2007-10-17,162.2549338181355
2007-10-18,162.30834665597357
2007-10-19,162.37983090634657
2007-10-22,162.56729183123883
2007-10-23,162.6455447494948
2007-10-24,162.99170269743433
2007-10-25,162.9851344838079
2007-10-26,162.42954931456055
2007-10-29,161.71402989469337
2007-10-30,161.23841450915037
2007-10-31,160.9575258890476
2007-11-01,160.87704712610307
2007-11-02,160.87704712610307
2007-11-05,160.87704712610307
2007-11-06,160.87704712610307
2007-11-07,160.87704712610307
2007-11-08,160.87704712610307
2007-11-09,160.87704712610307
2007-11-12,160.87704712610307
2007-11-13,160.87704712610307
2007-11-14,160.87704712610307
2007-11-15,160.87704712610307
2007-11-16,160.87704712610307
2007-11-19,160.87704712610307
2007-11-20,160.87704712610307
2007-11-21,160.87704712610307
2007-11-22,160.85974969808404
2007-11-23,160.96357550838246
2007-11-26,160.8829010756462
2007-11-27,161.23097315158824
2007-11-28,161.14498032213405
2007-11-29,161.05706133275768
2007-11-30,160.81988551278513
2007-12-03,160.5094117070026
2007-12-04,160.35057588712158
2007-12-05,160.0956767502186
2007-12-06,160.1724272384866
2007-12-07,160.09234102486735
2007-12-10,160.09234102486735
2007-12-11,160.09234102486735
2007-12-12,160.09234102486735
2007-12-13,160.09234102486735
2007-12-14,160.09234102486735
2007-12-17,160.09234102486735
2007-12-18,160.09234102486735
2007-12-19,160.09234102486735
2007-12-20,160.09234102486735
2007-12-21,160.09234102486735
2007-12-24,160.09234102486735
2007-12-25,160.09234102486735
2007-12-26,160.04973656799706
2007-12-27,160.3581078379538
2007-12-28,160.23201596992058
2007-12-31,160.4115123222197
2008-01-01,160.3372138880616
2008-01-02,160.08415277888744
2008-01-03,159.85639707445435
2008-01-04,159.75770045590997
2008-01-07,159.5531149861226
2008-01-08,159.47333842862955
2008-01-09,159.47333842862955
2008-01-10,159.47333842862955
2008-01-11,159.47333842862955
2008-01-14,159.47333842862955
2008-01-15,159.47333842862955
2008-01-16,159.47333842862955
2008-01-17,159.47333842862955
2008-01-18,159.56195933628896
2008-01-21,159.86184532192823
2008-01-22,159.71446969691206
2008-01-23,159.73338172134063
2008-01-24,159.49024311366512
2008-01-25,159.27146447438503
2008-01-28,159.32019290902642
2008-01-29,159.31872731278023
2008-01-30,159.5426137799123
2008-01-31,159.5905120846707
2008-02-01,159.35972690156075
2008-02-04,159.5401959151952
2008-02-05,159.87165147123707
2008-02-06,160.0767611214022
2008-02-07,160.00143436055916
2008-02-08,159.97335405564795
2008-02-11,159.89474351567554
2008-02-12,159.56390363446155
2008-02-13,159.18254462175108
2008-02-14,159.20520196229904
2008-02-15,159.00123526415507
2008-02-18,158.921734646523
2008-02-19,158.921734646523
2008-02-20,158.921734646523
2008-02-21,158.921734646523
2008-02-22,158.921734646523
2008-02-25,158.921734646523
2008-02-26,158.921734646523
2008-02-27,158.921734646523
2008-02-28,158.921734646523
2008-02-29,159.09696228988287
2008-03-03,158.97401619537666
2008-03-04,158.61508726154597
2008-03-05,158.45111536859346
2008-03-06,158.55131395704822
2008-03-07,158.4720383000697
2008-03-10,158.4720383000697
2008-03-11,158.4720383000697
2008-03-12,158.4720383000697
2008-03-13,158.4720383000697
2008-03-14,158.4720383000697
2008-03-17,158.4720383000697
2008-03-18,158.4720383000697
2008-03-19,158.4720383000697
2008-03-20,158.4720383000697
2008-03-21,158.4720383000697
2008-03-24,158.47852783034057
2008-03-25,158.56927304862083
2008-03-26,158.9611125789693
2008-03-27,158.72182755044145
2008-03-28,158.64189711469052
2008-03-31,158.6276205537007
2008-04-01,158.74811269385776
2008-04-02,158.683191500712
2008-04-03,158.4475060197204
2008-04-04,158.43171861440914
2008-04-07,158.37632362899734
2008-04-08,158.14341500242358
2008-04-09,158.06434329492237
2008-04-10,158.06434329492237
2008-04-11,158.06434329492237
2008-04-14,158.06434329492237
2008-04-15,158.06434329492237
2008-04-16,158.06434329492237
2008-04-17,158.06434329492237
2008-04-18,158.06434329492237
2008-04-21,158.11624076292102
2008-04-22,158.71229714438246
2008-04-23,158.3598113264784
2008-04-24,158.28063142081515
2008-04-25,158.28063142081515
2008-04-28,158.28063142081515
2008-04-29,158.28063142081515
2008-04-30,158.28063142081515
2008-05-01,158.28063142081515
2008-05-02,158.00802212410446
