,Return_Ex_Costs_ARSUSD Curncy
2008-02-12,179.284445652557
2008-02-13,178.855954385854
2008-02-14,178.881411952682
2008-02-15,178.652236960247
2008-02-18,178.652236960247
2008-02-19,178.652236960247
2008-02-20,178.652236960247
2008-02-21,178.652236960247
2008-02-22,178.652236960247
2008-02-25,178.652236960247
2008-02-26,178.652236960247
2008-02-27,178.652236960247
2008-02-28,178.652236960247
2008-02-29,178.938688866777
2008-03-03,178.800409589564
2008-03-04,178.396716948978
2008-03-05,178.212295354036
2008-03-06,178.324990177283
2008-03-07,178.324990177283
2008-03-10,178.324990177283
2008-03-11,178.324990177283
2008-03-12,178.324990177283
2008-03-13,178.324990177283
2008-03-14,178.324990177283
2008-03-17,178.324990177283
2008-03-18,178.324990177283
2008-03-19,178.324990177283
2008-03-20,178.324990177283
2008-03-21,178.324990177283
2008-03-24,178.421503450224
2008-03-25,178.523668068347
2008-03-26,178.964816778353
2008-03-27,178.695420064946
2008-03-28,178.605431164157
2008-03-31,178.589358037338
2008-04-01,178.725012937059
2008-04-02,178.651922045533
2008-04-03,178.38657784758
2008-04-04,178.368803751431
2008-04-07,178.306437847885
2008-04-08,178.04421994437
2008-04-09,178.04421994437
2008-04-10,178.04421994437
2008-04-11,178.04421994437
2008-04-14,178.04421994437
2008-04-15,178.04421994437
2008-04-16,178.04421994437
2008-04-17,178.04421994437
2008-04-18,178.04421994437
2008-04-21,178.191773317482
2008-04-22,178.863509143589
2008-04-23,178.46626928601
2008-04-24,178.46626928601
2008-04-25,178.46626928601
2008-04-28,178.46626928601
2008-04-29,178.46626928601
2008-04-30,178.46626928601
2008-05-01,178.46626928601
2008-05-02,178.248017947034
2008-05-05,178.007694476498
2008-05-06,177.937063655505
2008-05-07,177.871215129683
2008-05-08,177.871215129683
2008-05-09,177.871215129683
2008-05-12,177.871215129683
2008-05-13,177.871215129683
2008-05-14,177.871215129683
2008-05-15,177.824113462134
2008-05-16,178.454254576453
2008-05-19,179.00024835328
2008-05-20,179.359554879189
2008-05-21,179.710055894239
2008-05-22,179.769610325665
2008-05-23,179.712400556894
2008-05-26,179.609391710937
2008-05-27,180.074260159916
2008-05-28,181.180993036486
2008-05-29,181.768721808564
2008-05-30,182.490721595327
2008-06-02,182.85409220317
2008-06-03,184.217956417524
2008-06-04,184.565435422931
2008-06-05,184.756290963013
2008-06-06,185.033638503241
2008-06-09,185.033638503241
2008-06-10,185.033638503241
2008-06-11,185.033638503241
2008-06-12,185.033638503241
2008-06-13,185.033638503241
2008-06-16,185.033638503241
2008-06-17,185.033638503241
2008-06-18,185.033638503241
2008-06-19,185.033638503241
2008-06-20,185.033638503241
2008-06-23,185.679921108826
2008-06-24,185.838648157932
2008-06-25,185.903960941757
2008-06-26,185.526752594514
2008-06-27,185.636121913369
2008-06-30,185.803186764665
2008-07-01,185.901850757251
2008-07-02,186.196350165482
2008-07-03,185.582543814108
2008-07-04,185.747447012985
2008-07-07,186.62837184194
2008-07-08,187.116956756714
2008-07-09,187.169762837253
2008-07-10,187.118397858327
2008-07-11,186.817362024922
2008-07-14,186.726984366611
2008-07-15,187.024365978068
2008-07-16,186.899659220615
2008-07-17,186.899659220615
2008-07-18,186.899659220615
2008-07-21,186.899659220615
2008-07-22,186.899659220615
2008-07-23,186.899659220615
2008-07-24,186.899659220615
2008-07-25,186.899659220615
2008-07-28,186.899659220615
2008-07-29,186.899659220615
2008-07-30,186.899659220615
2008-07-31,186.899659220615
2008-08-01,186.899659220615
2008-08-04,186.899659220615
2008-08-05,186.899659220615
2008-08-06,186.899659220615
2008-08-07,186.899659220615
2008-08-08,186.899659220615
2008-08-11,186.899659220615
2008-08-12,186.899659220615
2008-08-13,186.899659220615
2008-08-14,186.899659220615
2008-08-15,186.899659220615
2008-08-18,186.921454105189
2008-08-19,187.104081967033
2008-08-20,187.307841168956
2008-08-21,187.507721187676
2008-08-22,187.671055217274
2008-08-25,187.644564479349
2008-08-26,187.621085212594
2008-08-27,187.528750443987
2008-08-28,187.746341996542
2008-08-29,187.655538484462
2008-09-01,187.577342317792
2008-09-02,187.371592482383
2008-09-03,187.371592482383
2008-09-04,187.371592482383
2008-09-05,187.371592482383
2008-09-08,187.371592482383
2008-09-09,187.371592482383
2008-09-10,187.371592482383
2008-09-11,187.371592482383
2008-09-12,187.371592482383
2008-09-15,187.371592482383
2008-09-16,187.371592482383
2008-09-17,187.371592482383
2008-09-18,187.371592482383
2008-09-19,187.371592482383
2008-09-22,187.371592482383
2008-09-23,187.371592482383
2008-09-24,187.371592482383
2008-09-25,187.371592482383
2008-09-26,187.371592482383
2008-09-29,187.371592482383
2008-09-30,187.371592482383
2008-10-01,187.371592482383
2008-10-02,187.371592482383
2008-10-03,187.371592482383
2008-10-06,187.371592482383
2008-10-07,187.371592482383
