,Return_Ex_Costs_BRLUSD Curncy,Return_Ex_Costs_ARSUSD Curncy,Return_Ex_Costs_MXNUSD Curncy,Return_Ex_Costs_COPUSD Curncy,Return_Ex_Costs_CLPUSD Curncy,Return_Ex_Costs_PENUSD Curncy,Return_Ex_Costs_TRYUSD Curncy,Return_Ex_Costs_RUBUSD Curncy,Return_Ex_Costs_ZARUSD Curncy,Return_Ex_Costs_CNYUSD Curncy,Return_Ex_Costs_KRWUSD Curncy,Return_Ex_Costs_IDRUSD Curncy,Return_Ex_Costs_INRUSD Curncy,Return_Ex_Costs_PHPUSD Curncy,Return_Ex_Costs_THBUSD Curncy,Return_Ex_Costs_CZKEUR Curncy,Return_Ex_Costs_HUFEUR Curncy,Return_Ex_Costs_PLNEUR Curncy
2012-10-01,277.071241145948,308.122621781841,150.676058339736,230.26017445484,103.931138728123,123.988881819589,426.639202046748,144.339602070662,139.778260369961,102.611120553461,123.495452360399,251.932792728944,174.371595795922,151.416735561563,117.676671253903,88.562715601411,88.729816028993,89.794317440795
2012-10-02,277.071241145948,308.328654002772,150.446145951954,230.559133313149,103.931138728123,123.998875159283,426.434064989159,144.123806980173,139.778260369961,102.61706976101,123.367365509971,251.932792728944,174.417533071691,151.416735561563,118.160979389627,88.562715601411,88.729816028993,89.794317440795
2012-10-03,277.411610948377,308.392362787058,150.762946163053,230.088868101803,103.931138728123,123.911898644149,425.422820134031,143.681553322683,139.778260369961,102.622748550034,123.375990553305,251.932792728944,175.2420537563,151.416735561563,118.184823679068,88.562715601411,88.729816028993,90.427668064712
2012-10-04,278.015359556392,308.574656032908,151.640873542799,230.088868101803,103.931138728123,124.162972689023,425.195642415825,144.571111758117,139.778260369961,102.628968176108,123.257817545789,251.932792728944,176.719738403814,151.416735561563,118.47522300183,88.562715601411,88.729816028993,90.391770379107
2012-10-05,276.478693205552,308.495710139036,151.141008295661,229.720806686442,103.931138728123,124.367388175462,423.580317636648,145.240478757482,139.778260369961,102.635097662674,123.524301643275,251.932792728944,176.399566274794,151.416735561563,118.681471466526,88.562715601411,88.729816028993,90.480747934005
2012-10-08,276.693463288554,308.75777738254,150.848873015052,230.083427523989,103.931138728123,124.377795032661,423.580317636648,143.956091073261,139.778260369961,102.635097662674,123.465116001088,251.932792728944,173.806460473095,151.416735561563,118.190668777258,88.562715601411,88.729816028993,90.753362895667
2012-10-09,276.160398505325,308.891543746772,150.13174816915,229.424738033315,103.931138728123,124.677112786405,423.580317636648,143.957494162276,139.778260369961,102.635097662674,123.617491766652,251.932792728944,173.563954389387,151.416735561563,118.241419074239,88.562715601411,88.715275661616,90.598497754501
2012-10-10,275.009448349123,309.013330209627,149.404212800639,229.339207089078,103.931138728123,124.63920701515,423.580317636648,144.300409117513,139.778260369961,102.599944118892,123.188817199119,251.932792728944,172.56658135084,151.416735561563,117.984327533225,88.562715601411,89.001632775502,90.268744139998
2012-10-11,275.009448349123,309.477233948234,150.182039001448,229.511534228206,103.931138728123,124.601783680984,423.580317636648,144.710952963267,139.778260369961,102.797705336991,123.242054535559,251.932792728944,173.837868750017,151.416735561563,118.065787790536,88.562715601411,89.204977610181,90.250524711626
2012-10-12,275.009448349123,309.515713170632,150.182039001448,229.68424094253,104.11239877964,124.661468040814,423.580317636648,144.696173758977,139.778260369961,103.005021108015,123.569211351669,251.932792728944,173.447722398606,151.416735561563,118.374742980567,88.562715601411,89.854315167856,90.17994697548
2012-10-15,275.009448349123,309.053520846508,150.182039001448,229.729410390892,104.177562195844,124.867744356024,423.580317636648,144.479349736544,139.778260369961,102.966352209854,123.689466266197,251.932792728944,172.864212165471,151.416735561563,118.163391652372,88.562715601411,90.146488428692,90.33783365551
2012-10-16,275.009448349123,310.376333827677,150.182039001448,229.518746156937,104.09015923664,124.832181850629,423.580317636648,145.374707606573,139.778260369961,103.06712570203,124.069662141888,251.451707473254,172.864212165471,151.416735561563,118.225739366396,88.562715601411,90.570450292026,90.484761619959
2012-10-17,275.009448349123,309.335904236128,150.722775025884,229.562144254382,104.255478356985,125.038733844175,423.580317636648,146.10552990479,139.778260369961,103.241090675107,124.253762204772,252.440159122455,172.864212165471,151.416735561563,118.457131031242,88.562715601411,90.482723408852,90.161231473563
2012-10-18,275.009448349123,309.483196295464,150.175503945589,229.990684651023,104.176162504326,125.101312826537,424.428871760868,146.046880783968,139.778260369961,103.315453940801,124.39771120386,252.114854809652,172.864212165471,151.416735561563,118.441358544063,88.562715601411,90.660820878359,90.290255692804
2012-10-19,275.19881767615,309.475080878402,149.564954397585,229.780273467198,103.673595488901,125.064303009876,424.917959866142,145.696669765854,139.778260369961,103.279218749518,124.50864710605,252.026782905045,172.864212165471,151.416735561563,118.163391652372,88.562715601411,90.259638923916,90.067157890432
2012-10-22,275.579066108438,309.468456048147,149.787544775809,229.313016400533,103.147000435759,125.077259891687,424.789436854208,144.742195078665,139.778260369961,103.267140352424,124.431219992904,251.753238390394,172.864212165471,151.416735561563,118.020233136391,88.562715601411,89.956758665284,90.087316515389
2012-10-23,275.389265416201,309.717439251898,148.548354732484,227.650223990538,103.147000435759,124.893658119646,423.076666795654,143.045766920408,137.71283552516,103.310045703297,124.575664684138,251.716926283939,172.864212165471,151.416735561563,118.012254113465,88.562715601411,89.541653207534,90.087316515389
2012-10-24,275.52676307677,309.694749208275,148.548354732484,227.650223990538,103.147000435759,124.854305037125,422.732725202521,143.615140442646,137.71283552516,103.41063892089,124.462349459649,251.707798102482,172.864212165471,151.416735561563,118.012254113465,88.562715601411,89.693886447798,90.087316515389
