,Return_Ex_Costs_CNYUSD Curncy
2011-08-17,102.988748792323
2011-08-18,102.988748792323
2011-08-19,102.988748792323
2011-08-22,102.988748792323
2011-08-23,102.988748792323
2011-08-24,102.988748792323
2011-08-25,102.988748792323
2011-08-26,102.988748792323
2011-08-29,102.988748792323
2011-08-30,102.988748792323
2011-08-31,102.988748792323
2011-09-01,102.988748792323
2011-09-02,102.988748792323
2011-09-05,102.988748792323
2011-09-06,102.988748792323
2011-09-07,102.988748792323
2011-09-08,102.894178889051
2011-09-09,102.943843365355
2011-09-12,102.953357088657
2011-09-13,103.125554088759
2011-09-14,103.093865884638
2011-09-15,103.024904857612
2011-09-16,102.887535977512
2011-09-19,102.94079565115
2011-09-20,102.898146592585
2011-09-21,102.898146592585
2011-09-22,102.898146592585
2011-09-23,102.898146592585
2011-09-26,102.898146592585
2011-09-27,102.856343943081
2011-09-28,102.780132367034
2011-09-29,102.835917397753
2011-09-30,102.583429357802
2011-10-03,102.574602319179
2011-10-04,102.574602319179
2011-10-05,102.574602319179
2011-10-06,102.574602319179
2011-10-07,102.574602319179
2011-10-10,102.574602319179
2011-10-11,102.574602319179
2011-10-12,102.574602319179
2011-10-13,102.574602319179
2011-10-14,102.574602319179
2011-10-17,102.574602319179
2011-10-18,102.574602319179
2011-10-19,102.574602319179
2011-10-20,102.574602319179
2011-10-21,102.574602319179
2011-10-24,102.450550610575
2011-10-25,102.199694544346
2011-10-26,102.087746929163
2011-10-27,102.087746929163
2011-10-28,102.087746929163
2011-10-31,102.087746929163
2011-11-01,102.087746929163
2011-11-02,102.087746929163
2011-11-03,102.087746929163
2011-11-04,102.087746929163
2011-11-07,102.087746929163
2011-11-08,102.087746929163
2011-11-09,102.087746929163
2011-11-10,102.087746929163
2011-11-11,102.087746929163
2011-11-14,102.087746929163
2011-11-15,102.087746929163
2011-11-16,102.087746929163
2011-11-17,102.087746929163
2011-11-18,102.087746929163
2011-11-21,102.191779287966
2011-11-22,102.194973816438
2011-11-23,102.138870449609
2011-11-24,102.249128630255
2011-11-25,102.454670803712
2011-11-28,102.552466716005
2011-11-29,102.418904857562
2011-11-30,102.453111254598
2011-12-01,102.220445915351
2011-12-02,102.142335213553
2011-12-05,102.19752958302
2011-12-06,102.19752958302
2011-12-07,102.19752958302
2011-12-08,102.19752958302
2011-12-09,102.19752958302
2011-12-12,102.19752958302
2011-12-13,102.19752958302
2011-12-14,102.19752958302
2011-12-15,102.19752958302
2011-12-16,101.824856602672
2011-12-19,101.597117404682
2011-12-20,101.597117404682
2011-12-21,101.597117404682
2011-12-22,101.597117404682
2011-12-23,101.597117404682
2011-12-26,101.597117404682
2011-12-27,101.597117404682
2011-12-28,101.597117404682
2011-12-29,101.597117404682
2011-12-30,101.597117404682
2012-01-02,101.597117404682
2012-01-03,101.597117404682
2012-01-04,101.597117404682
2012-01-05,101.597117404682
2012-01-06,101.597117404682
2012-01-09,101.597117404682
2012-01-10,101.597117404682
2012-01-11,101.597117404682
2012-01-12,101.597117404682
2012-01-13,101.411186959813
2012-01-16,101.574636704689
2012-01-17,101.535094826804
2012-01-18,101.504650598142
2012-01-19,101.579132048753
2012-01-20,101.913619328062
2012-01-23,101.564568577667
2012-01-24,101.569512497765
2012-01-25,101.898055023363
2012-01-26,101.580210990536
2012-01-27,101.586954896004
2012-01-30,101.906017562027
2012-01-31,101.906017562027
2012-02-01,101.906017562027
2012-02-02,101.906017562027
2012-02-03,101.906017562027
2012-02-06,101.906017562027
2012-02-07,101.906017562027
2012-02-08,101.906017562027
2012-02-09,101.906017562027
2012-02-10,101.906017562027
2012-02-13,101.906017562027
2012-02-14,101.906017562027
2012-02-15,101.906017562027
2012-02-16,101.906017562027
2012-02-17,101.906017562027
2012-02-20,101.906017562027
2012-02-21,101.906017562027
2012-02-22,101.906017562027
2012-02-23,101.906017562027
2012-02-24,101.906017562027
2012-02-27,101.906017562027
2012-02-28,101.906017562027
2012-02-29,101.817935326983
2012-03-01,101.925922382832
2012-03-02,101.89485265068
2012-03-05,102.033687363573
2012-03-06,102.053461473981
2012-03-07,102.081917131782
2012-03-08,102.18937854177
2012-03-09,102.107224374945
2012-03-12,102.355810163509
2012-03-13,102.364532136898
2012-03-14,102.444916893958
2012-03-15,102.396434508918
2012-03-16,102.290351978965
2012-03-19,102.297520150483
2012-03-20,102.314219534158
2012-03-21,102.283456964504
2012-03-22,101.902505753584
2012-03-23,101.902505753584
2012-03-26,101.902505753584
2012-03-27,101.902505753584
2012-03-28,101.902505753584
2012-03-29,101.902505753584
2012-03-30,101.902505753584
2012-04-02,101.902505753584
2012-04-03,101.902505753584
2012-04-04,101.902505753584
2012-04-05,101.902505753584
2012-04-06,101.902505753584
2012-04-09,101.902505753584
2012-04-10,101.93730839877
2012-04-11,101.882950968983
2012-04-12,101.871509944799
2012-04-13,101.797790522903
2012-04-16,101.993529682027
2012-04-17,101.774499743813
2012-04-18,101.786188763918
2012-04-19,101.794282735458
2012-04-20,101.794282735458
2012-04-23,101.794282735458
2012-04-24,101.795902799321
2012-04-25,101.732938283048
2012-04-26,101.732938283048
2012-04-27,101.732938283048
2012-04-30,101.732938283048
2012-05-01,101.732938283048
2012-05-02,101.732938283048
2012-05-03,101.732938283048
2012-05-04,101.732938283048
2012-05-07,101.732938283048
2012-05-08,101.732938283048
2012-05-09,101.7564100512
2012-05-10,101.823017284291
2012-05-11,101.755060805669
2012-05-14,101.928958108718
2012-05-15,101.869153349723
2012-05-16,101.923813764258
2012-05-17,101.973383519463
2012-05-18,102.017395605938
2012-05-21,101.99949699256
2012-05-22,101.924986990091
2012-05-23,102.109971935348
2012-05-24,102.275815733253
2012-05-25,102.258189694669
2012-05-28,102.269636842552
2012-05-29,102.312813824968
2012-05-30,102.471289793369
2012-05-31,102.637852727803
2012-06-01,102.652588919927
2012-06-04,102.558478267459
2012-06-05,102.609399140663
2012-06-06,102.554183845218
2012-06-07,102.552539268111
2012-06-08,102.657349339493
2012-06-11,102.640964366282
2012-06-12,102.661652406303
2012-06-13,102.635656390704
2012-06-14,102.662110200598
2012-06-15,102.579315889107
2012-06-18,102.453231571326
2012-06-19,102.406838370551
2012-06-20,102.490175651375
2012-06-21,102.490175651375
2012-06-22,102.490175651375
2012-06-25,102.490175651375
2012-06-26,102.479494132729
2012-06-27,102.392663954126
2012-06-28,102.392663954126
2012-06-29,102.392663954126
2012-07-02,102.392663954126
2012-07-03,102.392663954126
2012-07-04,102.392663954126
2012-07-05,102.392663954126
2012-07-06,102.392663954126
2012-07-09,102.392663954126
2012-07-10,102.306432059695
2012-07-11,102.356510995886
2012-07-12,102.442278867836
2012-07-13,102.537806296769
2012-07-16,102.535150351447
2012-07-17,102.449044107694
2012-07-18,102.39622585424
2012-07-19,102.457273306445
2012-07-20,102.478858374044
2012-07-23,102.682074863711
2012-07-24,102.686942858083
2012-07-25,102.73371748671
2012-07-26,102.667473649478
2012-07-27,102.617273499942
2012-07-30,102.602232196719
2012-07-31,102.316553356422
2012-08-01,102.316553356422
2012-08-02,102.316553356422
2012-08-03,102.316553356422
2012-08-06,102.316553356422
2012-08-07,102.316553356422
2012-08-08,102.316553356422
2012-08-09,102.316553356422
2012-08-10,102.316553356422
2012-08-13,102.316553356422
2012-08-14,102.316553356422
2012-08-15,102.316553356422
2012-08-16,102.316553356422
2012-08-17,102.316553356422
2012-08-20,102.316553356422
2012-08-21,102.316553356422
2012-08-22,102.316553356422
2012-08-23,102.316553356422
2012-08-24,102.316553356422
2012-08-27,102.316553356422
2012-08-28,102.316553356422
2012-08-29,102.316553356422
2012-08-30,102.316553356422
2012-08-31,102.316553356422
2012-09-03,102.316553356422
2012-09-04,102.316553356422
2012-09-05,102.316553356422
2012-09-06,102.316553356422
2012-09-07,102.316553356422
2012-09-10,102.316553356422
2012-09-11,102.316553356422
2012-09-12,102.316553356422
2012-09-13,102.316553356422
2012-09-14,102.316553356422
2012-09-17,102.316553356422
2012-09-18,102.316553356422
2012-09-19,102.316553356422
2012-09-20,102.316553356422
2012-09-21,102.316553356422
2012-09-24,102.264929198797
2012-09-25,102.333069476781
2012-09-26,102.41267176179
2012-09-27,102.418177135243
2012-09-28,102.723138723732
2012-10-01,102.739203583972
2012-10-02,102.745160217544
2012-10-03,102.750846095045
2012-10-04,102.757073484689
2012-10-05,102.757073484689
2012-10-08,102.757073484689
2012-10-09,102.757073484689
2012-10-10,102.757073484689
2012-10-11,102.757073484689
2012-10-12,102.964307312019
2012-10-15,102.925653698139
2012-10-16,103.026387358554
2012-10-17,103.200283570183
2012-10-18,103.274617443029
2012-10-19,103.238396574078
2012-10-22,103.226322951094
2012-10-23,103.269211343185
2012-10-24,103.369764800272
2012-10-25,103.480409643733
2012-10-26,103.373188663506
2012-10-29,103.46878652907
2012-10-30,103.558617888134
2012-10-31,103.608804515013
2012-11-01,103.604659838466
2012-11-02,103.574836187663
2012-11-05,103.523658442479
2012-11-06,103.536272675447
2012-11-07,103.536272675447
2012-11-08,103.536272675447
2012-11-09,103.536272675447
2012-11-12,103.536272675447
2012-11-13,103.536272675447
2012-11-14,103.580530685346
2012-11-15,103.472893050723
2012-11-16,103.444883924783
2012-11-19,103.463287356891
2012-11-20,103.667520566873
2012-11-21,103.566705668056
2012-11-22,103.721204724926
2012-11-23,103.604589806348
2012-11-26,103.691130823676
2012-11-27,103.759627500254
2012-11-28,103.691220596515
2012-11-29,103.664378517489
2012-11-30,103.717972902702
2012-12-03,103.721833134803
2012-12-04,103.780724117549
2012-12-05,103.824443490411
2012-12-06,103.769412739765
2012-12-07,103.821121895347
2012-12-10,103.589418196462
2012-12-11,103.589418196462
2012-12-12,103.589418196462
2012-12-13,103.589418196462
2012-12-14,103.589418196462
2012-12-17,103.589418196462
2012-12-18,103.589418196462
2012-12-19,103.589418196462
2012-12-20,103.589418196462
2012-12-21,103.589418196462
2012-12-24,103.570444906807
2012-12-25,103.548518227724
2012-12-26,103.549592187516
2012-12-27,103.539747556091
2012-12-28,103.663789912046
2012-12-31,103.692607833126
2013-01-01,103.712118102677
2013-01-02,103.728227499554
2013-01-03,103.745052869626
2013-01-04,103.758745856972
2013-01-07,103.791054147376
2013-01-08,103.907936771386
2013-01-09,103.905878348452
2013-01-10,103.941498014881
2013-01-11,104.09131540584
2013-01-14,104.04012332243
2013-01-15,104.133110341072
2013-01-16,104.137585173538
2013-01-17,104.161928262153
2013-01-18,104.175800242797
2013-01-21,104.124966145984
2013-01-22,104.092747352229
2013-01-23,104.151546650831
2013-01-24,104.172399370122
2013-01-25,104.172399370122
2013-01-28,104.142238999302
2013-01-29,104.142238999302
2013-01-30,104.142238999302
2013-01-31,104.142238999302
2013-02-01,104.04228302041
2013-02-04,104.04228302041
2013-02-05,104.04228302041
2013-02-06,104.04228302041
2013-02-07,104.04228302041
2013-02-08,104.04228302041
2013-02-11,104.04228302041
2013-02-12,104.04228302041
2013-02-13,104.04228302041
2013-02-14,104.04228302041
2013-02-15,104.04228302041
2013-02-18,104.04228302041
2013-02-19,104.04228302041
2013-02-20,104.04228302041
2013-02-21,104.04228302041
2013-02-22,104.04228302041
2013-02-25,104.04228302041
2013-02-26,104.04228302041
2013-02-27,104.04228302041
2013-02-28,104.158119886231
2013-03-01,104.159457494381
2013-03-04,104.118348337227
2013-03-05,104.206541301274
2013-03-06,104.318900385904
2013-03-07,104.271192361875
2013-03-08,104.372850581302
2013-03-11,104.338340291023
2013-03-12,104.387118401573
2013-03-13,104.437947511287
2013-03-14,104.417615867402
2013-03-15,104.463986283281
2013-03-18,104.462648675131
2013-03-19,104.4715660628
2013-03-20,104.549682378781
2013-03-21,104.540140773975
2013-03-22,104.573848499364
2013-03-25,104.641174776265
2013-03-26,104.62378587031
2013-03-27,104.630919780445
2013-03-28,104.623340000926
2013-03-29,104.72669252401
2013-04-01,104.761648683673
2013-04-02,104.917881315635
2013-04-03,104.893358499545
2013-04-04,104.91181749202
2013-04-05,104.929473919605
2013-04-08,104.918862228279
2013-04-09,104.953640040188
2013-04-10,105.136089791897
2013-04-11,105.082496292006
2013-04-12,105.183530294296
2013-04-15,105.283672557819
2013-04-16,105.312119024483
2013-04-17,105.556990489875
2013-04-18,105.441242797931
2013-04-19,105.457026574105
2013-04-22,105.456313183091
2013-04-23,105.501435164696
2013-04-24,105.55440444745
2013-04-25,105.701541343989
2013-04-26,105.868474841153
2013-04-29,105.883010183054
2013-04-30,105.895672873544
2013-05-01,105.908513911787
2013-05-02,106.027828558799
2013-05-03,106.01730604135
2013-05-06,105.885774573232
2013-05-07,106.031841383251
2013-05-08,106.330484696287
2013-05-09,106.461926990529
2013-05-10,106.346535994092
2013-05-13,106.278585500054
2013-05-14,106.355275034008
2013-05-15,106.311758182183
2013-05-16,106.273056719699
2013-05-17,106.419212703595
2013-05-20,106.450423560437
2013-05-21,106.630733139105
2013-05-22,106.61147158174
2013-05-23,106.592388372128
2013-05-24,106.691906418515
2013-05-27,106.858483220173
2013-05-28,106.848406572107
2013-05-29,106.768328430839
2013-05-30,106.77260877692
2013-05-31,106.709384498346
2013-06-03,106.767793387578
2013-06-04,106.850368397393
2013-06-05,106.862496044623
2013-06-06,106.814252977333
2013-06-07,106.786430727806
2013-06-10,106.802660373364
2013-06-11,106.802660373364
2013-06-12,106.802660373364
2013-06-13,106.802660373364
