,Weighted_Performance
2013-07-16,0.023435713142445275
2013-07-17,0.04313119292502604
2013-07-18,-0.06787616927077551
2013-07-19,-0.03325567731214761
2013-07-22,0.005152430638980946
2013-07-23,0.06769788258789627
2013-07-24,-0.11597288541485236
2013-07-25,0.00050742475949421
2013-07-26,-0.008213902926440473
2013-07-29,-0.010865984923034377
2013-07-30,0.0032733298716736154
2013-07-31,-0.03411851662716474
2013-08-01,-0.001492610926248696
2013-08-02,0.013230796609911959
2013-08-05,0.0035741430602713024
2013-08-06,0.011943559022020727
2013-08-07,0.004969334779544403
2013-08-08,0.003072622919097873
2013-08-09,-0.0019774508384960083
2013-08-12,0.003795692250026599
2013-08-13,-0.039827320389070026
2013-08-14,0.0014461812293319468
2013-08-15,-0.024151680990296333
2013-08-16,-0.034745307407709564
2013-08-19,-0.027608160675527273
2013-08-20,-0.0009538861055808711
2013-08-21,0.0002715391902301581
2013-08-22,0.03801458955861134
2013-08-23,0.006064316165025728
2013-08-26,-0.00010341303223536635
2013-08-27,0.01608904481151556
2013-08-28,0.016761218006390702
2013-08-29,0.0009219226836773039
2013-08-30,-0.010271518560803918
2013-09-02,-0.010640764021771332
2013-09-03,0.026198161068295853
2013-09-04,-0.002090113489960186
2013-09-05,0.056032963969407226
2013-09-06,0.016573747474596764
2013-09-09,0.0578705498356223
2013-09-10,-0.02154509429728728
2013-09-11,0.046987615301778474
2013-09-12,0.015877192536479956
2013-09-13,-0.0345356148204983
2013-09-16,0.08521461118993294
2013-09-17,-0.0014129876406658692
2013-09-18,0.12982088353636723
2013-09-19,0.23440550105425437
2013-09-20,-0.10904034534147553
2013-09-23,-0.026342446491945382
2013-09-24,0.0186104064794847
2013-09-25,-0.09764868575841448
2013-09-26,-0.042875847040498336
2013-09-27,-0.10300542556559938
2013-09-30,0.04774562974755052
2013-10-01,0.03496034989424453
2013-10-02,0.04592573618623963
2013-10-03,0.009841162798420431
2013-10-04,0.014400149800362829
2013-10-07,-0.014992480742351806
2013-10-08,0.0002474239789896181
2013-10-09,-0.006767159399914693
2013-10-10,0.10962757561287162
2013-10-11,0.01730640197334796
2013-10-14,-0.03677600893599872
2013-10-15,0.009767944009846596
2013-10-16,0.0009400216880890802
2013-10-17,0.11152677588541937
2013-10-18,-0.026081484004906223
2013-10-21,-0.05779833734883234
2013-10-22,0.055973297330330504
2013-10-23,-0.04683635907455514
2013-10-24,-0.011192946459277953
2013-10-25,0.023031139077968783
2013-10-28,-0.0060721805805761826
2013-10-29,-0.000254980975858203
2013-10-30,0.02033614361884032
2013-10-31,0.0006786370646412721
2013-11-01,0.028046455407177765
2013-11-04,0.006409062786839633
2013-11-05,-0.007270384435203879
2013-11-06,0.010581356115644258
2013-11-07,0.12850149284321835
2013-11-08,0.0015753143437233143
2013-11-11,0.07103422363354747
2013-11-12,0.01406846586081209
2013-11-13,0.00393040316103907
2013-11-14,-0.007479888779543375
2013-11-15,0.011278599832536138
2013-11-18,-0.004206284371163896
2013-11-19,0.013868512482666545
2013-11-20,0.008660254682538168
2013-11-21,-0.061804570218721086
2013-11-22,0.06657350858693424
2013-11-25,0.03051459412188848
2013-11-26,-0.02405522513186071
2013-11-27,-0.044886537715972
2013-11-28,0.026926498222178925
2013-11-29,-0.02718933440405646
2013-12-02,-0.02085657441752685
2013-12-03,-0.006981532227266275
2013-12-04,0.030946962371026975
2013-12-05,0.00964787886622969
2013-12-06,0.02797472634041427
2013-12-09,0.029192209710914116
2013-12-10,0.017711725271543903
2013-12-11,-0.0016422806973764295
2013-12-12,0.02765516507189783
2013-12-13,0.014229651790284473
2013-12-16,0.0113040553405487
2013-12-17,-0.00728767908364518
2013-12-18,-0.029731200716522726
2013-12-19,-0.03073429495138167
2013-12-20,-0.02710321639793937
2013-12-23,0.01103843954973013
2013-12-24,-0.03408972800012952
2013-12-25,0.006801093092316067
2013-12-26,0.003905867274342933
2013-12-27,-0.03491772000507144
2013-12-30,-0.008965740022032816
2013-12-31,0.005682429472633626
