,Inflation_Differential_ARSUSD Curncy
2001-09-28,27.97875
2001-10-01,27.97875
2001-10-02,31.4315
2001-10-03,31.4315
2001-10-04,31.4315
2001-10-05,31.4315
2001-10-08,31.4315
2001-10-09,31.4315
2001-10-10,31.4315
2001-10-11,31.4315
2001-10-12,31.4315
2001-10-15,31.4315
2001-10-16,31.4315
2001-10-17,31.4315
2001-10-18,31.4315
2001-10-19,31.4315
2001-10-22,31.4315
2001-10-23,31.4315
2001-10-24,31.4315
2001-10-25,31.4315
2001-10-26,31.4315
2001-10-29,31.4315
2001-10-30,31.4315
2001-10-31,31.4315
2001-11-01,31.4315
2001-11-02,34.88425
2001-11-05,34.88425
2001-11-06,34.88425
2001-11-07,34.88425
2001-11-08,34.88425
2001-11-09,34.88425
2001-11-12,34.88425
2001-11-13,34.88425
2001-11-14,34.88425
2001-11-15,34.88425
2001-11-16,34.88425
2001-11-19,34.88425
2001-11-20,34.88425
2001-11-21,34.88425
2001-11-22,34.88425
2001-11-23,34.88425
2001-11-26,34.88425
2001-11-27,34.88425
2001-11-28,34.88425
2001-11-29,34.88425
2001-11-30,34.88425
2001-12-03,34.88425
2001-12-04,38.336999999999996
2001-12-05,38.336999999999996
2001-12-06,38.336999999999996
2001-12-07,38.336999999999996
2001-12-10,38.336999999999996
2001-12-11,38.336999999999996
2001-12-12,38.336999999999996
2001-12-13,38.336999999999996
2001-12-14,38.336999999999996
2001-12-17,38.336999999999996
2001-12-18,38.336999999999996
2001-12-19,38.336999999999996
2001-12-20,38.336999999999996
2001-12-21,38.336999999999996
2001-12-24,38.336999999999996
2001-12-25,38.336999999999996
2001-12-26,38.336999999999996
2001-12-27,38.336999999999996
2001-12-28,38.336999999999996
2001-12-31,38.336999999999996
2002-01-01,38.336999999999996
2002-01-02,35.28783333333334
2002-01-03,35.28783333333334
2002-01-04,35.28783333333334
2002-01-07,35.28783333333334
2002-01-08,35.28783333333334
2002-01-09,35.28783333333334
2002-01-10,35.28783333333334
2002-01-11,35.28783333333334
2002-01-14,35.28783333333334
2002-01-15,35.28783333333334
2002-01-16,35.28783333333334
2002-01-17,35.28783333333334
2002-01-18,35.28783333333334
2002-01-21,35.28783333333334
2002-01-22,35.28783333333334
2002-01-23,35.28783333333334
2002-01-24,35.28783333333334
2002-01-25,35.28783333333334
2002-01-28,35.28783333333334
2002-01-29,35.28783333333334
2002-01-30,35.28783333333334
2002-01-31,35.28783333333334
2002-02-01,35.28783333333334
2002-02-04,32.238666666666674
2002-02-05,32.238666666666674
2002-02-06,32.238666666666674
2002-02-07,32.238666666666674
2002-02-08,32.238666666666674
2002-02-11,32.238666666666674
2002-02-12,32.238666666666674
2002-02-13,32.238666666666674
2002-02-14,32.238666666666674
2002-02-15,32.238666666666674
2002-02-18,32.238666666666674
2002-02-19,32.238666666666674
2002-02-20,32.238666666666674
2002-02-21,32.238666666666674
2002-02-22,32.238666666666674
2002-02-25,32.238666666666674
2002-02-26,32.238666666666674
2002-02-27,32.238666666666674
2002-02-28,32.238666666666674
2002-03-01,32.238666666666674
2002-03-04,29.189500000000006
2002-03-05,29.189500000000006
2002-03-06,29.189500000000006
2002-03-07,29.189500000000006
2002-03-08,29.189500000000006
2002-03-11,29.189500000000006
2002-03-12,29.189500000000006
2002-03-13,29.189500000000006
2002-03-14,29.189500000000006
2002-03-15,29.189500000000006
2002-03-18,29.189500000000006
2002-03-19,29.189500000000006
2002-03-20,29.189500000000006
2002-03-21,29.189500000000006
2002-03-22,29.189500000000006
2002-03-25,29.189500000000006
2002-03-26,29.189500000000006
2002-03-27,29.189500000000006
2002-03-28,29.189500000000006
2002-03-29,29.189500000000006
2002-04-01,29.189500000000006
2002-04-02,26.14033333333333
2002-04-03,26.14033333333333
2002-04-04,26.14033333333333
2002-04-05,26.14033333333333
2002-04-08,26.14033333333333
2002-04-09,26.14033333333333
2002-04-10,26.14033333333333
2002-04-11,26.14033333333333
2002-04-12,26.14033333333333
2002-04-15,26.14033333333333
2002-04-16,26.14033333333333
2002-04-17,26.14033333333333
2002-04-18,26.14033333333333
2002-04-19,26.14033333333333
2002-04-22,26.14033333333333
2002-04-23,26.14033333333333
2002-04-24,26.14033333333333
2002-04-25,26.14033333333333
2002-04-26,26.14033333333333
2002-04-29,26.14033333333333
2002-04-30,26.14033333333333
2002-05-01,26.14033333333333
2002-05-02,23.09116666666667
2002-05-03,23.09116666666667
2002-05-06,23.09116666666667
2002-05-07,23.09116666666667
2002-05-08,23.09116666666667
2002-05-09,23.09116666666667
2002-05-10,23.09116666666667
2002-05-13,23.09116666666667
2002-05-14,23.09116666666667
2002-05-15,23.09116666666667
2002-05-16,23.09116666666667
2002-05-17,23.09116666666667
2002-05-20,23.09116666666667
2002-05-21,23.09116666666667
2002-05-22,23.09116666666667
2002-05-23,23.09116666666667
2002-05-24,23.09116666666667
2002-05-27,23.09116666666667
2002-05-28,23.09116666666667
2002-05-29,23.09116666666667
2002-05-30,23.09116666666667
2002-05-31,23.09116666666667
2002-06-03,23.09116666666667
2002-06-04,20.042
2002-06-05,20.042
2002-06-06,20.042
2002-06-07,20.042
2002-06-10,20.042
2002-06-11,20.042
2002-06-12,20.042
2002-06-13,20.042
2002-06-14,20.042
2002-06-17,20.042
2002-06-18,20.042
2002-06-19,20.042
2002-06-20,20.042
2002-06-21,20.042
2002-06-24,20.042
2002-06-25,20.042
2002-06-26,20.042
2002-06-27,20.042
2002-06-28,20.042
2002-07-01,20.042
2002-07-02,16.992833333333333
2002-07-03,16.992833333333333
2002-07-04,16.992833333333333
2002-07-05,16.992833333333333
2002-07-08,16.992833333333333
2002-07-09,16.992833333333333
2002-07-10,16.992833333333333
2002-07-11,16.992833333333333
2002-07-12,16.992833333333333
2002-07-15,16.992833333333333
