,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2019-03-28,115.03314787492802,59.95675004864296,116.44183438543925,115.50353894696339,69.82447831592127,97.38886929673926,213.40139112358918,101.16876590056175,157.45854497753044,82.39458137816284,136.71622065184792,254.61097540859174,135.35981205128203,79.16731391991635,110.96941432366236,83.6694238183141,73.63294580549422,88.63178467779538
2019-03-29,115.03314787492802,59.95675004864296,115.90139655421693,115.50353894696339,69.6916419663598,97.38886929673926,209.64832476593833,101.16876590056175,157.45854497753044,82.39458137816284,136.7784209342191,254.61097540859174,135.04151662215529,79.16731391991635,110.96941432366236,83.6694238183141,73.79846623601394,88.63178467779538
2019-04-01,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,68.75731240520737,97.38886929673926,215.54859282757116,101.16876590056175,157.45854497753044,82.39458137816284,136.4215401989398,254.61097540859174,135.26619574859768,79.16731391991635,110.96941432366236,83.6694238183141,73.91715145028864,88.63178467779538
2019-04-02,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,69.02567876587372,97.38886929673926,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,136.90299144508813,254.61097540859174,135.1985626507234,79.16731391991635,110.96941432366236,83.6694238183141,73.91715145028864,88.63178467779538
2019-04-03,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,68.4635954118865,97.38886929673926,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,136.42154019893977,254.61097540859174,135.1985626507234,79.16731391991635,110.96941432366236,83.6694238183141,73.4916609718412,88.63178467779538
2019-04-04,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,68.42936361418056,97.38886929673926,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,136.7162206518479,254.72523525368288,134.12286844042234,79.16731391991635,110.96941432366236,83.6694238183141,73.53869563486317,88.63178467779538
2019-04-05,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,68.42936361418056,97.3697165476013,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,136.87182754992648,255.04612054650067,133.70668246056997,79.16731391991635,110.96941432366236,83.6694238183141,73.79846623601394,88.63178467779538
2019-04-08,115.03314787492802,59.95675004864296,115.84344585593983,115.50353894696339,68.42936361418056,97.5116450801622,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,137.51353651842814,254.69999708458482,132.89280765552533,79.16731391991635,110.96941432366236,83.6694238183141,73.8696315843611,88.63178467779538
2019-04-09,115.03314787492802,59.95675004864296,115.91707367756744,115.50353894696339,68.42936361418056,97.61215103195305,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,137.1528144221777,254.75768432823745,132.82636125169756,79.16731391991635,110.96941432366236,83.6694238183141,74.08395353286505,88.63178467779538
2019-04-10,115.03314787492802,59.95675004864296,116.42134693169722,115.50353894696339,68.42936361418056,97.46701144661928,215.4408185311574,101.16876590056175,157.45854497753044,82.39458137816284,136.82510830056367,254.7036025373131,132.82636125169756,79.43645313502223,110.96941432366236,83.6694238183141,73.84589455621703,88.63178467779538
