,Spot_Incl_Signals
2013-02-07,119.53495203826523
2013-02-08,119.56052198267551
2013-02-11,119.51800108897534
2013-02-12,119.43750996841669
2013-02-13,119.47092171988308
2013-02-14,119.4052627693129
2013-02-15,119.39137625820581
2013-02-18,119.41285880757934
2013-02-19,119.45832614556191
2013-02-20,119.41529246413391
2013-02-21,119.40427882977642
2013-02-22,119.3251009449657
2013-02-25,119.26672025848563
2013-02-26,119.30605822824592
2013-02-27,119.2288654181843
2013-02-28,119.35950883414016
2013-03-01,119.4001714769508
2013-03-04,119.44613726061198
2013-03-05,119.43084264091186
2013-03-06,119.39164016802552
2013-03-07,119.37988500795818
2013-03-08,119.39484489909026
2013-03-11,119.37928984000871
2013-03-12,119.336435533736
2013-03-13,119.3337288337741
2013-03-14,119.26516141444996
2013-03-15,119.28683631771027
2013-03-18,119.31024461868583
2013-03-19,119.28433126545268
2013-03-20,119.29276178095225
2013-03-21,119.30576490462381
2013-03-22,119.31386838863621
2013-03-25,119.30570916240207
2013-03-26,119.35208787572758
2013-03-27,119.31019998505593
2013-03-28,119.2999128021101
2013-03-29,119.28773445681145
2013-04-01,119.30323093313008
2013-04-02,119.39267530902971
2013-04-03,119.36058826258173
2013-04-04,119.43825084898806
2013-04-05,119.4762389058245
2013-04-08,119.54208764308464
2013-04-09,119.50778729488935
2013-04-10,119.46830077651052
2013-04-11,119.480823829053
2013-04-12,119.54051604269482
2013-04-15,119.49289534107909
2013-04-16,119.56260139382165
2013-04-17,119.52090248272364
2013-04-18,119.42586135723366
2013-04-19,119.42704981270226
2013-04-22,119.4407070022545
2013-04-23,119.41978339306378
2013-04-24,119.40056080201931
2013-04-25,119.37556478803785
2013-04-26,119.35082092580156
2013-04-29,119.31715843566417
2013-04-30,119.32642491608449
2013-05-01,119.27854168462832
2013-05-02,119.29961062499073
2013-05-03,119.31734032746812
2013-05-06,119.31524951332842
2013-05-07,119.34177622910194
2013-05-08,119.32498116430524
2013-05-09,119.32302280099077
2013-05-10,119.23087593051858
2013-05-13,119.23890410683086
2013-05-14,119.21167514713925
2013-05-15,119.30224936087272
2013-05-16,119.28907670732927
2013-05-17,119.39157356399039
2013-05-20,119.39973986233451
2013-05-21,119.43167513827876
2013-05-22,119.48135771864318
2013-05-23,119.59156402539801
2013-05-24,119.5402965434726
2013-05-27,119.50714392545666
2013-05-28,119.65718376277114
2013-05-29,119.7622955120217
2013-05-30,119.80765404443743
2013-05-31,119.80684355260463
2013-06-03,119.785362253819
2013-06-04,119.79389081548578
2013-06-05,119.84624450106223
2013-06-06,119.83401710581913
2013-06-07,119.91917784524341
2013-06-10,120.12866030276034
2013-06-11,120.16574247708968
2013-06-12,120.10525667478939
2013-06-13,120.12422147749969
2013-06-14,120.08076425579944
2013-06-17,120.08537133494737
2013-06-18,120.09521860289335
2013-06-19,120.08013287799851
2013-06-20,120.02723038574642
2013-06-21,119.96269021983132
2013-06-24,119.99528931291789
2013-06-25,119.96130871763377
2013-06-26,120.09188202377581
2013-06-27,120.08551487046101
2013-06-28,119.98604022709694
2013-07-01,119.94993285546009
2013-07-02,119.95880773223324
2013-07-03,120.0121154761467
2013-07-04,119.96632614073262
2013-07-05,119.8644096257625
2013-07-08,119.8902328828592
2013-07-09,119.7744848543088
2013-07-10,119.72722345147467
2013-07-11,119.70640950389597
2013-07-12,119.74555625049224
2013-07-15,119.81452887133882
2013-07-16,119.87087016788685
2013-07-17,119.93447844249752
2013-07-18,119.80424245513848
2013-07-19,119.7636174462956
2013-07-22,119.7768224149859
2013-07-23,119.81888727361732
2013-07-24,119.61092560950583
2013-07-25,119.53338100896228
2013-07-26,119.5769597214162
2013-07-29,119.54402952359492
2013-07-30,119.54127257412391
2013-07-31,119.48476680117551
2013-08-01,119.47166688080912
2013-08-02,119.46414218544895
2013-08-05,119.47135991801693
2013-08-06,119.49993975977091
2013-08-07,119.5259903147975
2013-08-08,119.50871131024378
2013-08-09,119.5112593497823
2013-08-12,119.53328775151593
2013-08-13,119.4037104431348
2013-08-14,119.4262427682771
2013-08-15,119.30418397398451
2013-08-16,119.23439328445652
2013-08-19,119.179621919031
2013-08-20,119.1709218385983
2013-08-21,119.20680722955154
2013-08-22,119.24292453746811
2013-08-23,119.23200312551397
2013-08-26,119.23288113552243
2013-08-27,119.29342732934954
2013-08-28,119.29608787235611
2013-08-29,119.29165650003908
2013-08-30,119.28634331384185
2013-09-02,119.24896678531978
2013-09-03,119.20713687795754
2013-09-04,119.17551588961602
2013-09-05,119.24203091599361
2013-09-06,119.394625563535
2013-09-09,119.41075991842925
2013-09-10,119.35345981471131
2013-09-11,119.40354603090232
2013-09-12,119.5062663179718
2013-09-13,119.33045071253993
2013-09-16,119.5892043915034
2013-09-17,119.58351444336758
2013-09-18,119.66765203197303
2013-09-19,120.43596219318943
2013-09-20,120.14454169585983
2013-09-23,120.12130179959834
2013-09-24,119.97081803558322
2013-09-25,119.79221863315826
2013-09-26,119.6815184586402
2013-09-27,119.32319184604367
2013-09-30,119.44400477388554
2013-10-01,119.51806583323153
2013-10-02,119.59097961291364
2013-10-03,119.64573112961429
2013-10-04,119.71717651289134
2013-10-07,119.67588591778281
2013-10-08,119.64835493876275
2013-10-09,119.59630697397219
2013-10-10,119.86421644550165
2013-10-11,119.8432108807983
2013-10-14,119.77274032684014
2013-10-15,119.78076263392721
2013-10-16,119.90310487406771
2013-10-17,120.00216924311731
2013-10-18,119.97271905341084
2013-10-21,119.75931087629937
2013-10-22,119.97209295889702
2013-10-23,119.84152893908887
2013-10-24,119.78279707232312
2013-10-25,119.79591680398607
2013-10-28,119.76391362255649
2013-10-29,119.762435017763
2013-10-30,119.83665731292083
2013-10-31,119.82488992415227
2013-11-01,119.8874284967256
2013-11-04,119.89196219221073
2013-11-05,119.8869335666305
2013-11-06,119.91410850069411
2013-11-07,120.1909869776955
2013-11-08,120.19806940868938
2013-11-11,120.36709945127285
2013-11-12,120.38776060525782
2013-11-13,120.39711364418511
2013-11-14,120.37467215846593
2013-11-15,120.38760369013379
2013-11-18,120.26765769598056
2013-11-19,120.3105199620009
2013-11-20,120.36488623033489
2013-11-21,120.28138170716839
2013-11-22,120.30015989831286
2013-11-25,120.54054485401497
2013-11-26,120.45629828986691
2013-11-27,120.35908853578228
2013-11-28,120.38296296375142
2013-11-29,120.34200651557462
2013-12-02,120.2911238319741
2013-12-03,120.23570669419136
2013-12-04,120.34858591442539
2013-12-05,120.3509959199318
2013-12-06,120.40222958870774
2013-12-09,120.46392829632224
2013-12-10,120.46792136803072
2013-12-11,120.45712510418696
2013-12-12,120.460239993343
2013-12-13,120.51465810210118
2013-12-16,120.51629005795738
2013-12-17,120.51895048886036
2013-12-18,120.35777684519773
2013-12-19,120.33067887231384
2013-12-20,120.25259326816622
2013-12-23,120.27597819724205
2013-12-24,120.24087407195981
2013-12-25,120.25026302920473
2013-12-26,120.30288177256286
2013-12-27,120.19119542301485
2013-12-30,120.09527872621076
2013-12-31,120.12606078356056
2014-01-01,120.11285469009292
2014-01-02,120.07989727463162
2014-01-03,120.10324522722883
2014-01-06,120.08924507665104
2014-01-07,120.12753903554142
2014-01-08,120.12408915447696
2014-01-09,120.10104337097728
2014-01-10,120.16935165639568
2014-01-13,120.17707025258497
2014-01-14,120.19344696898361
2014-01-15,120.24037990614953
2014-01-16,120.21492644590921
2014-01-17,120.22788819525695
2014-01-20,120.29276395147402
2014-01-21,120.25284289721773
2014-01-22,120.1857971306102
2014-01-23,120.16046712281432
2014-01-24,120.16373744653517
2014-01-27,120.15642921554738
2014-01-28,120.13299452484705
2014-01-29,120.15439380348023
2014-01-30,120.17759072131865
2014-01-31,120.16150582367648
2014-02-03,120.16565037443927
2014-02-04,120.15122883142834
2014-02-05,120.1440691410278
2014-02-06,120.22155853914487
2014-02-07,120.14365600267628
2014-02-10,120.10429547522884
2014-02-11,120.13880827266836
2014-02-12,120.14496488415551
2014-02-13,120.20517547814663
2014-02-14,120.43756238039595
2014-02-17,120.52255029122936
2014-02-18,120.42888935925546
2014-02-19,120.12296585202236
2014-02-20,120.20308932742927
2014-02-21,120.36547534941246
2014-02-24,120.48615091876046
2014-02-25,120.45371396035922
2014-02-26,120.19022178158984
2014-02-27,120.36364635394027
2014-02-28,120.36092635494923
2014-03-03,120.26704731787503
2014-03-04,120.32885362538146
2014-03-05,120.41754424759708
2014-03-06,120.46654500808204
2014-03-07,120.2604194478363
2014-03-10,120.20272889090546
2014-03-11,120.11882869617423
2014-03-12,120.09549101528255
2014-03-13,120.11137066173818
2014-03-14,120.11795261361692
2014-03-17,120.12053997759257
2014-03-18,120.12658051573081
2014-03-19,120.1412163162446
2014-03-20,120.07649429126512
2014-03-21,120.07312697631278
