,Carry_BRLUSD Curncy,Carry_ARSUSD Curncy,Carry_MXNUSD Curncy,Carry_COPUSD Curncy,Carry_CLPUSD Curncy,Carry_PENUSD Curncy,Carry_TRYUSD Curncy,Carry_RUBUSD Curncy,Carry_ZARUSD Curncy,Carry_CNYUSD Curncy,Carry_KRWUSD Curncy,Carry_IDRUSD Curncy,Carry_INRUSD Curncy,Carry_PHPUSD Curncy,Carry_THBUSD Curncy,Carry_CZKEUR Curncy,Carry_HUFEUR Curncy,Carry_PLNEUR Curncy
2014-07-30,10.1793,38.3594,2.5712,3.7726232500000005,3.4718999999999998,4.126375,7.311899999999999,9.529399999999999,6.1693500000000006,1.7742750000000003,1.6744,4.8894,4.296900000000001,0.22440000000000004,0.9932749999999999,-0.29625,1.33595,2.3132249999999996
2014-07-31,10.230975,38.923275000000004,2.567775,3.775158,3.4382749999999995,4.17615,7.343275,9.605775000000001,6.165675,1.7860250000000002,1.6832749999999996,4.870775,4.4132750000000005,0.23077499999999998,1.0285,-0.2949,1.3322249999999998,2.3139999999999996
2014-08-01,10.250399999999999,41.95702500000001,2.5704499999999997,3.7982962500000004,3.4370250000000007,4.216375,7.418525,9.619525,6.166600000000001,1.8292249999999997,1.6645249999999996,6.664525,4.677025,0.5895250000000001,1.042575,-0.296925,1.3275499999999998,2.312775
2014-08-04,10.311875,45.441525,2.5740499999999997,3.8087817499999996,3.4640250000000004,4.2108,7.522025,9.546525,6.1648249999999996,1.8028499999999998,1.6990249999999998,7.279025,5.2765249999999995,0.9665250000000001,1.140175,-0.2966,1.3264500000000001,2.3083
2014-08-05,10.336475000000002,43.521525000000004,2.5688250000000004,3.818918499999999,3.474025,4.23975,7.6857750000000005,9.459025000000002,6.159349999999999,1.7704000000000002,1.7215250000000002,7.489024999999999,5.871524999999999,1.034025,1.245525,-0.296725,1.3259750000000001,2.322425
2014-08-06,10.40835,45.23215,2.568425,3.8375839999999997,3.46215,4.1949000000000005,7.849650000000001,9.38215,6.1614,1.6075749999999995,1.74965,7.66215,6.0996500000000005,1.1146499999999997,1.3314750000000002,-0.30067499999999997,1.32335,2.32235
2014-08-07,10.4509,42.39587500000001,2.54215,3.837446,3.4258749999999996,4.218475,7.983374999999998,9.400875000000001,6.17465,1.3731749999999998,1.805875,6.093375,6.355874999999999,0.8208749999999999,1.4447,-0.295075,1.3141500000000002,2.3286249999999997
2014-08-08,10.441925,37.964625000000005,2.49695,3.839846,3.3946250000000004,4.108199999999999,8.069375,9.462125,6.19235,1.3982999999999999,1.7996249999999998,5.684624999999999,6.352124999999999,0.512125,1.5525250000000002,-0.285875,1.30715,2.337975
2014-08-11,10.48735,34.962625,2.456975,3.8806757500000004,3.387625,4.1357,8.116624999999999,9.540125,6.2120750000000005,1.343175,1.7776250000000005,5.807625,6.360125,0.3926250000000001,1.6512999999999995,-0.27375,1.31875,2.34395
2014-08-12,10.471375,33.963449999999995,2.420075,3.8981380000000003,3.37345,4.1326,8.1447,9.58595,6.232,1.41705,1.7409500000000002,6.058450000000001,6.390950000000001,0.58345,1.7752499999999993,-0.2606,1.32375,2.3558499999999998
2014-08-13,10.513575000000001,34.628724999999996,2.396025,3.8811649999999998,3.353725,4.140775,8.188475,9.501225,6.229325,1.572425,1.7012249999999995,6.043725,6.386225000000001,0.7237250000000001,1.831725,-0.2519,1.3282749999999999,2.357975
2014-08-14,10.479125000000002,34.6486,2.3853,3.846291500000001,3.3686000000000003,4.2637,8.2351,9.3436,6.218375,1.598075,1.6711,6.0261,6.258599999999999,0.6836,1.7793250000000003,-0.24900000000000005,1.34015,2.346175
2014-08-15,10.38515,36.7921,2.381075,3.8388540000000004,3.3396000000000003,4.1524,8.2166,9.082099999999999,6.2078,1.58535,1.6696,6.079600000000001,6.0946,0.7545999999999999,1.7528250000000003,-0.249875,1.333725,2.3198749999999997
2014-08-18,10.352374999999999,37.285025,2.375825,3.850041750000001,3.365025,4.148725,8.238275000000002,8.912525000000002,6.1991249999999996,1.489425,1.672525,5.830025,6.115025,0.490025,1.7174749999999999,-0.25072500000000003,1.3399750000000001,2.299725
2014-08-19,10.289875,37.917775,2.3864499999999995,3.9670897499999995,3.3727749999999994,4.091175,8.177025,8.712775,6.197150000000001,1.257925,1.7027750000000001,5.790275,6.080275,0.27027499999999993,1.7046750000000004,-0.25735,1.3447000000000002,2.2848499999999996
2014-08-20,10.28205,39.077574999999996,2.3952,3.9967169999999994,3.307575,4.122975,8.101825000000002,8.672575,6.1907749999999995,1.0837750000000002,1.6775749999999998,5.842575,6.092574999999999,0.24007499999999996,1.7154250000000002,-0.263425,1.3523,2.28005
2014-08-21,10.26145,38.854124999999996,2.39085,3.9742172499999997,3.216624999999999,4.2326250000000005,8.044375,8.751625,6.172675000000001,1.0036999999999998,1.654125,5.7566250000000005,6.129125,0.271625,1.6914500000000003,-0.26795,1.3657249999999999,2.264575
2014-08-22,10.18685,40.610925,2.3828250000000004,4.0110025,3.2134250000000004,4.388025,7.9514249999999995,8.693425,6.147900000000001,1.006425,1.660925,6.005925,6.2284250000000005,0.3984249999999999,1.6889250000000002,-0.27292500000000003,1.363175,2.2477
2014-08-25,10.2014,42.70935,2.357675,3.9317275,3.2043499999999994,4.440975,7.893350000000001,8.794350000000001,6.138800000000001,1.1688500000000002,1.66685,6.171850000000001,6.10935,0.45185,1.6496,-0.26995,1.3632499999999999,2.23075
2014-08-26,10.206675,44.89585,2.346625,3.9504142500000006,3.2208499999999995,4.4060749999999995,7.868850000000001,8.74835,6.141525,1.226775,1.7308499999999998,6.25835,5.97835,0.53085,1.605825,-0.2659,1.3537,2.2180750000000002
2014-08-27,10.199024999999999,45.052550000000004,2.3316,3.99856275,3.2300499999999994,4.331325,7.82805,8.70005,6.154100000000001,1.17585,1.7600500000000001,6.28755,5.92255,0.5100500000000001,1.56775,-0.26315,1.33925,2.213075
2014-08-28,10.257875,44.137625,2.3158749999999997,3.9840549999999997,3.132625,4.256774999999999,7.820375,8.600124999999998,6.154775,1.0987749999999998,1.7876249999999996,6.1126249999999995,5.727625,0.367625,1.5272999999999999,-0.263425,1.3028,2.20955
2014-08-29,10.221375000000002,44.016325,2.3017250000000002,4.03295175,3.0913250000000003,4.44035,7.820325,8.603825,6.134025,0.984075,1.816325,6.041324999999999,5.823824999999999,0.35882499999999995,1.524375,-0.26745,1.28335,2.209625
2014-09-01,10.177575,46.295025,2.283875,4.07165075,3.065025,4.423875,7.817024999999999,8.612525,6.113775,0.938325,1.770025,5.970025,5.900024999999999,0.3400249999999999,1.5351000000000001,-0.27180000000000004,1.235275,2.2042
2014-09-02,10.2528,48.55365,2.2780750000000003,4.09860225,3.01615,4.33655,7.8573999999999975,8.653649999999999,6.0935500000000005,0.889325,1.7561499999999997,5.89865,5.858649999999999,0.29615,1.5390000000000001,-0.27495,1.1993,2.1984
2014-09-03,10.24225,50.81402500000001,2.2746000000000004,4.12342675,2.9915249999999998,4.407449999999999,7.918525000000002,8.819024999999998,6.09525,0.9335249999999999,1.7365249999999999,5.984025,5.756525,0.511525,1.5452250000000003,-0.27535,1.1966,2.1908
