Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Iraq,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.31,-1,2,2,2,2,2,2
Ireland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.2,-0.2,0.867,1.684,1.742,1.836,1.896,1.918
Israel,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.997,-0.202,0.165,1.025,1.693,1.998,1.998,1.998
Italy,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.1,0.497,0.886,1.587,1.36,1.4,1.4,1.4
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.661,1.725,5,5.494,5.5,5.5,5.5,5.3
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.192,0.332,0.098,0.611,2.011,0.802,1.61,1.61
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.575,0.843,2.467,2.498,2.457,2.494,2.52,2.52
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.6,8.5,7,6.16,5.32,4.48,3.99,3.99
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.007,6.35,5.112,5.173,5.01,5.011,5.007,5.004
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.633,0.748,2.2,2.5,2.5,2.5,2.5,2.5
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.132,1.337,1.876,1.9,1.9,2,2,2
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.134,1.295,0.967,1.816,2.016,2.206,2.206,1.797
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.028,3.513,2.5,2.7,2.7,2.7,2.7,2.7
