WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	Estimates Start After
512	AFG	BCA_NGDPD	"Afghanistan, Rep. of."	Current account balance	"Balance of payments data are based upon the methodology of the 5th edition of the International Monetary Fund's Balance of Payments Manual (1993). Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries."	Percent of GDP		"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.738	-15.687	-4.914	-2.807	-4.909	0.84	0.903	-2.974	-4.065	-4.321	-4.738	-4.585	2006
914	ALB	NGDP_R	Albania	"Gross domestic product, constant prices"	Real GDP is expressed in billions of national currency units; the base year is country-specific.	National currency	Billions	Definition: Gross domestic product at constant market prices Source: IMF Staff Latest actual data: 2006 Base Year: 1996 Use of chain weighted prices indices: Yes. From 1996. Primary domestic currency:  Albanian leks Data last updated: 08/2008	293.363	310.085	319.078	322.588	329.039	324.104	342.254	339.515	334.762	367.569	330.812	238.185	221.035	242.255	265.027	288.614	314.878	282.76	318.671	350.857	376.469	402.822	419.862	444.109	469.467	496.709	523.754	555.18	589.127	626.065	664.881	706.104	749.882	795.625	2006
914	ALB	NGDP_RPCH	Albania	"Gross domestic product, constant prices"	Annual percentages of constant price GDP are year-on-year changes;  the base year is country-specific.	Annual percent change		"See notes for:  Gross domestic product, constant prices (National currency)."	2.684	5.7	2.9	1.1	2	-1.5	5.6	-0.8	-1.4	9.8	-10	-28	-7.2	9.6	9.4	8.9	9.1	-10.2	12.7	10.1	7.3	7	4.23	5.775	5.71	5.803	5.445	6	6.115	6.27	6.2	6.2	6.2	6.1	2006
914	ALB	NGDP	Albania	"Gross domestic product, current prices"	GDP is expressed in billions of national currency units.	National currency	Billions	Definition: Gross domestic product at market prices Source: IMF Staff Latest actual data: 2006 Primary domestic currency:  Albanian leks Data last updated: 08/2008	17.411	18.012	18.55	18.74	18.501	18.896	19.487	19.334	19.059	20.933	18.84	18.382	59.65	140.452	210.545	251.843	314.878	322.186	412.326	474.291	523.043	583.369	622.711	694.097	751.024	817.374	893.006	973.992	"1,072.00"	"1,172.25"	"1,279.79"	"1,395.83"	"1,520.92"	"1,654.03"	2006
914	ALB	NGDPD	Albania	"Gross domestic product, current prices"	Values are based upon GDP in national currency and the exchange rate projections provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise.	U.S. dollars	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	1.833	2.099	2.162	2.184	2.156	2.202	2.436	2.417	2.382	2.617	2.091	1.255	0.794	1.376	2.223	2.714	3.013	2.164	2.738	3.444	3.64	4.065	4.442	5.694	7.306	8.184	9.112	10.768	13.515	14.976	16.463	18.082	19.853	21.794	2006
914	ALB	NGDP_D	Albania	"Gross domestic product, deflator"	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation.   Please note:   Data are expressed in the base year of each country's national accounts.	Index		"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."	5.935	5.809	5.814	5.809	5.623	5.83	5.694	5.695	5.693	5.695	5.695	7.717	26.987	57.977	79.443	87.259	100	113.943	129.389	135.181	138.934	144.82	148.313	156.29	159.974	164.558	170.501	175.437	181.964	187.241	192.484	197.681	202.82	207.891	2006
914	ALB	NGDPRPC	Albania	"Gross domestic product per capita, constant prices"	GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."	"109,853.40"	"113,847.05"	"114,718.38"	"113,663.21"	"113,591.08"	"109,590.76"	"113,471.76"	"110,372.06"	"106,676.74"	"114,894.03"	"103,482.87"	"75,837.78"	"71,064.91"	"78,269.39"	"87,373.51"	"95,029.54"	"102,803.06"	"91,562.58"	"104,089.91"	"115,066.54"	"123,089.66"	"131,498.65"	"136,135.35"	"143,132.43"	"150,492.24"	"158,440.89"	"166,236.53"	"175,334.06"	"185,129.67"	"195,758.31"	"206,861.02"	"218,593.44"	"230,991.27"	"243,862.43"	2006
914	ALB	NGDPPC	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,519.91"	"6,613.08"	"6,669.27"	"6,603.16"	"6,386.79"	"6,389.46"	"6,460.69"	"6,285.34"	"6,073.31"	"6,543.32"	"5,893.48"	"5,852.76"	"19,178.09"	"45,378.31"	"69,412.09"	"82,922.08"	"102,803.06"	"104,329.24"	"134,681.13"	"155,547.86"	"171,013.21"	"190,436.84"	"201,906.90"	"223,701.73"	"240,747.88"	"260,726.86"	"283,434.83"	"307,601.32"	"336,869.39"	"366,539.78"	"398,173.80"	"432,117.23"	"468,497.63"	"506,968.04"	2006
914	ALB	NGDPDPC	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	686.306	770.755	777.305	769.599	744.381	744.692	807.586	785.667	759.164	817.914	654.233	399.674	255.367	444.45	732.968	893.557	983.761	700.666	894.297	"1,129.61"	"1,190.13"	"1,327.09"	"1,440.14"	"1,835.13"	"2,341.91"	"2,610.60"	"2,891.94"	"3,400.73"	"4,247.15"	"4,682.79"	"5,122.16"	"5,597.66"	"6,115.51"	"6,680.10"	2006
914	ALB	NGAP_NPGDP	Albania	Output gap in percent of potential GDP	"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, ""IMF Estimates of Potential Output: Theory and Practice,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46."	Percent of potential GDP																																					
914	ALB	PPPGDP	Albania	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	4.977	5.754	6.282	6.603	6.988	7.092	7.655	7.801	7.954	9.064	8.472	6.313	5.994	6.721	7.509	8.344	9.276	8.469	9.65	10.778	11.817	12.948	13.731	14.833	15.537	16.833	18.321	19.944	21.63	23.354	25.173	27.237	29.484	31.885	2006
914	ALB	PPPPC	Albania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,863.54"	"2,112.70"	"2,258.75"	"2,326.49"	"2,412.28"	"2,398.14"	"2,537.80"	"2,535.90"	"2,534.63"	"2,833.13"	"2,650.26"	"2,010.19"	"1,927.01"	"2,171.38"	"2,475.46"	"2,747.46"	"3,028.55"	"2,742.30"	"3,152.06"	"3,534.88"	"3,863.75"	"4,226.73"	"4,452.16"	"4,780.58"	"4,980.64"	"5,369.44"	"5,815.12"	"6,298.48"	"6,797.11"	"7,302.34"	"7,832.05"	"8,432.06"	"9,082.19"	"9,772.79"	2006
914	ALB	PPPSH	Albania	Gross domestic product based on purchasing-power-parity (PPP) share of world total	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Percent		"See notes for:  Gross domestic product, current prices (National currency)."	0.04	0.041	0.042	0.042	0.041	0.039	0.039	0.038	0.036	0.038	0.033	0.024	0.021	0.023	0.025	0.026	0.027	0.024	0.026	0.028	0.028	0.03	0.03	0.03	0.031	0.031	0.031	0.031	0.032	0.032	0.033	0.033	0.034	0.034	2006
