Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Jamaica,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.725,5.246,3.464,5.000,5.000,5.000,5.000,5.000
Japan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.308,0.584,1.432,1.706,0.853,1.205,1.205,1.407
Jordan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.843,3.240,4.164,2.523,2.494,2.520,2.520,2.520
Kazakhstan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.500,7.100,6.030,5.190,4.140,4.000,4.000,4.000
Kenya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.350,4.496,6.881,5.000,5.000,5.000,5.000,5.000
Kiribati,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.748,2.499,2.500,2.500,2.500,2.500,2.500,2.500
Korea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.337,1.457,1.600,1.900,2.000,2.000,2.000,2.000
Kosovo,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.295,0.496,2.419,2.000,2.197,2.197,2.197,0.374
Kuwait,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.513,1.507,0.800,3.000,3.600,3.200,2.700,2.700
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.503,3.656,4.059,4.954,5.056,4.952,4.952,4.952
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.487,0.148,2.600,2.900,3.100,3.100,3.100,3.100
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.105,2.160,2.719,2.409,2.416,2.421,2.288,2.282
Lebanon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.142,5.011,5.354,2.427,2.427,2.427,2.427,2.427
Lesotho,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.448,4.925,7.000,5.000,5.000,5.000,5.000,5.000
Liberia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.518,13.894,27.000,22.000,18.000,14.000,10.000,7.000
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,25.000,33.994,23.687,13.380,13.380,13.380,11.411,13.088
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.960,3.806,2.199,2.215,2.281,2.399,2.466,2.480
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.533,1.540,0.711,3.696,0.240,3.504,0.754,3.060
Macao SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.444,2.039,2.200,2.400,2.600,2.800,3.000,3.000
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.210,2.382,2.000,2.000,2.000,2.000,2.200,2.200
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.952,9.007,7.683,6.418,6.049,5.400,5.000,5.000
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,19.969,7.061,8.964,7.782,7.015,5.953,5.349,4.982
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.742,3.510,3.032,2.503,2.553,2.511,2.414,2.318
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.825,2.234,1.979,2.117,2.422,2.523,2.625,2.015
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.787,1.084,2.001,2.140,2.140,2.240,2.240,2.240
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.963,1.336,2.096,2.086,2.065,2.052,2.044,2.038
Marshall Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.508,0.033,1.355,1.469,1.656,1.829,1.911,1.966
Mauritania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.770,1.236,4.143,3.883,4.000,4.100,4.200,4.200
Mauritius,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.339,4.205,5.885,4.749,4.153,3.855,3.706,3.632
Mexico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.360,6.773,4.349,3.069,3.000,3.000,3.000,3.000
Micronesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.472,0.539,2.000,2.000,2.000,2.000,2.000,2.000
Moldova,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.368,7.334,3.000,5.740,4.955,5.000,5.000,5.000
Mongolia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.804,7.178,8.000,8.083,7.170,6.830,6.751,6.751
Montenegro,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.000,1.881,2.906,1.906,1.843,1.966,2.062,2.062
Morocco,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.819,1.863,2.400,1.400,2.000,2.000,2.000,2.000
Mozambique,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,21.100,7.162,6.500,5.500,5.000,5.000,5.000,5.000
Myanmar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.998,5.419,6.300,5.900,5.800,5.700,5.600,5.500
Namibia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.298,5.167,2.860,5.750,5.750,5.750,5.750,5.750
Nauru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.215,1.580,3.000,2.800,2.250,2.000,2.000,2.000
Nepal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.439,2.711,4.623,5.639,5.500,5.500,5.500,5.500
Netherlands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.730,1.220,1.543,1.740,1.890,1.990,2.090,2.140
New Zealand,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.331,1.616,1.602,1.863,2.015,2.015,2.015,0.500
Nicaragua,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.130,5.678,7.048,6.963,7.137,7.052,7.005,7.005
Niger,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.204,4.775,2.400,2.000,2.000,2.000,2.000,2.000
Nigeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,18.546,15.368,12.891,13.018,14.000,14.500,14.500,14.500
Norway,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.469,1.628,1.800,2.000,2.000,2.000,2.000,2.000
Oman,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.100,1.600,1.500,3.200,3.400,3.100,3.000,3.000
Pakistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.191,3.932,5.212,7.705,6.100,5.000,5.000,5.000
Palau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.413,0.472,2.500,2.350,2.000,2.000,2.000,2.000
Panama,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.463,0.481,2.000,2.402,2.294,2.124,2.045,2.043
Papua New Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.612,4.700,4.205,3.817,3.814,3.820,3.820,3.820
Paraguay,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.909,4.493,4.100,4.000,4.000,4.000,4.000,4.000
