Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.361,2.470,1.215,2.160,3.090,2.226,2.340,2.320
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.783,4.747,2.200,2.000,2.000,2.000,2.000,2.000
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.549,5.796,8.925,6.500,6.000,5.500,5.000,5.000
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.798,34.577,14.190,6.962,5.163,4.191,3.978,3.992
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.964,1.664,2.000,2.600,2.600,2.400,2.200,2.200
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.654,5.430,4.570,4.542,4.355,4.365,4.407,4.407
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.294,2.377,1.764,3.277,3.440,3.461,3.430,3.502
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.472,2.753,1.731,2.040,2.000,2.100,2.200,2.200
Marshall Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.363,5.747,3.873,2.000,2.000,2.000,2.000,2.000
Mauritania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.472,3.422,5.101,5.301,5.500,5.500,5.500,5.500
Mauritius,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.867,3.170,5.500,5.100,5.000,5.000,5.000,5.000
Mexico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.819,4.049,3.349,3.128,2.977,3.034,2.999,2.980
Micronesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.301,3.715,4.488,3.309,2.654,2.000,2.000,2.000
Moldova,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.779,3.954,4.100,5.000,5.000,5.000,5.000,5.000
Mongolia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.395,14.216,9.280,8.353,6.466,6.155,5.869,5.896
Montenegro,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.757,5.068,2.810,2.291,2.339,2.315,2.327,2.333
Morocco,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.921,2.596,2.260,2.500,2.500,2.500,2.500,2.500
Mozambique,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.460,2.181,6.129,5.404,5.600,5.600,5.600,5.600
Myanmar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.094,4.691,6.500,6.140,5.780,5.420,5.060,4.700
Namibia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.200,6.364,6.400,6.100,5.700,5.600,5.500,5.500
Nepal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.682,11.475,7.749,8.217,7.309,6.571,5.512,5.512
Netherlands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.650,2.873,2.109,1.052,0.808,0.824,0.840,0.840
New Zealand,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.847,0.950,1.810,2.167,2.218,2.015,2.015,2.015
Nicaragua,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.950,6.619,7.300,7.000,7.000,7.000,7.000,7.000
Niger,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.442,0.667,3.154,1.060,1.218,1.551,1.708,2.000
Nigeria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,10.333,11.984,9.711,7.000,7.000,7.000,7.000,7.000
Norway,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.153,1.378,1.730,2.000,2.000,2.000,2.300,2.500
Oman,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.292,2.881,2.810,3.225,3.306,3.516,3.508,3.502
Pakistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,13.313,11.265,5.853,10.000,8.000,6.000,6.000,6.000
Palau,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.077,1.665,2.500,2.000,2.000,2.000,2.000,0.000
Panama,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.313,4.634,4.459,3.900,3.700,3.500,3.300,3.100
Papua New Guinea,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.852,1.600,8.000,6.000,6.000,6.000,6.000,6.000
Paraguay,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.940,3.977,4.200,5.000,4.600,4.300,4.000,4.000
Peru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.738,2.649,2.848,2.208,2.000,2.000,2.000,2.000
Philippines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.163,2.978,3.362,3.700,3.425,3.142,3.342,3.000
Poland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.600,2.400,1.900,2.000,2.260,2.500,2.500,2.500
Portugal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.495,2.088,0.987,0.962,1.464,1.474,1.481,1.524
Qatar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.923,1.856,3.746,3.974,4.036,4.962,5.000,5.000
Romania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.135,4.954,3.278,2.992,2.900,2.700,2.600,2.500
Russia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.100,6.570,6.200,5.300,5.400,5.500,5.500,5.500
Rwanda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.336,3.885,7.500,6.000,5.500,5.000,5.000,5.000
Samoa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.868,5.481,-1.732,1.000,3.000,3.000,4.000,4.000
San Marino,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.000,2.827,1.628,0.857,1.200,1.300,1.400,1.500
São Tomé and Príncipe,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.939,10.406,8.000,6.000,4.000,3.000,3.000,3.000
Saudi Arabia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.640,3.738,3.763,3.548,3.514,3.504,3.501,3.500
Senegal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.747,1.148,1.604,1.639,1.655,1.659,1.660,1.659
Serbia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.000,12.184,4.956,4.798,4.000,4.000,3.500,3.500
Seychelles,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.512,5.797,4.671,3.082,3.000,3.000,3.000,3.000
Sierra Leone,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,16.911,12.042,9.000,7.500,6.000,5.400,5.400,5.400
Singapore,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.536,3.992,1.887,2.744,2.672,2.365,2.467,2.202
Slovak Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.630,3.397,1.600,2.050,2.100,2.200,2.300,2.300
Slovenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.073,2.500,2.400,1.500,2.100,2.100,2.100,2.100
Solomon Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.383,5.105,5.274,4.969,4.737,4.508,4.508,4.727
South Africa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.065,5.648,5.700,5.400,5.100,5.000,5.000,5.000
South Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,25.239,10.364,5.018,5.000,5.000,5.000,5.000
