,PSNI3M Curncy
2018-10-31,4.0019
2018-11-07,4.8285
2018-11-14,3.7875
2018-11-21,3.826
2018-11-28,4.0031
2018-12-05,3.9763
2018-12-12,4.0511
2018-12-19,4.1379
2018-12-26,4.1308
2019-01-02,4.0148
2019-01-09,4.0996
2019-01-16,3.9577
2019-01-23,4.0506
2019-01-30,3.7154
2019-02-06,3.9539
2019-02-13,4.0562
2019-02-20,3.6766
2019-02-27,3.858
2019-03-06,3.8743
2019-03-13,3.8581
2019-03-20,3.96
2019-03-27,4.1586
2019-04-03,6.5163
2019-04-10,4.3743
2019-04-17,4.2801
2019-04-24,4.2961
2019-05-01,3.6262
2019-05-08,4.0536
2019-05-15,6.7368
2019-05-22,4.2359
2019-05-29,4.2968
2019-06-05,4.2773
2019-06-12,4.1115
2019-06-19,3.8238
2019-06-26,3.7237
2019-07-03,3.9129
2019-07-10,3.6867
2019-07-17,3.7199
2019-07-24,3.7092
2019-07-31,3.7404
2019-08-07,3.9908
2019-08-14,3.6927
2019-08-21,3.727
2019-08-28,3.7113
2019-09-04,3.2359
2019-09-11,2.8068
2019-09-18,3.65
2019-09-25,3.6207000000000003
2019-10-02,3.5738
2019-10-09,3.4467
2019-10-16,3.4346
2019-10-23,3.3611
2019-10-30,3.076
2019-11-06,3.0341
2019-11-13,3.2724
2019-11-20,3.2855
2019-11-27,3.384
2019-12-04,3.3262
2019-12-11,3.4341
2019-12-18,3.4932
2019-12-25,3.7619
2020-01-01,3.3708
2020-01-08,3.1939
2020-01-15,3.1885
2020-01-22,3.0504
2020-01-29,2.9811
2020-02-05,3.129
2020-02-12,3.0771
2020-02-19,2.8457
2020-02-26,2.8285
2020-03-04,2.2368
2020-03-11,2.2226
2020-03-18,2.8091
2020-03-25,6.1925
2020-04-01,2.9276
2020-04-08,3.0798
2020-04-15,2.6571
2020-04-22,2.5246
2020-04-29,2.3861
2020-05-06,-0.3034
2020-05-13,2.4102
2020-05-20,-4.6478
2020-05-27,-5.4876
2020-06-03,0.3376
2020-06-10,1.2675
2020-06-17,1.46
2020-06-24,1.0365
2020-07-01,0.9799
2020-07-08,0.3699
2020-07-15,1.1484
2020-07-22,1.1762
2020-07-29,0.8827
2020-08-05,0.771
2020-08-12,0.8072
2020-08-19,1.156
2020-08-26,0.7638
2020-09-02,0.5161
2020-09-09,-1.3780000000000001
2020-09-16,0.0672
2020-09-23,0.549
