,PENUSDCR Curncy
2006-08-23,137.6163
2006-08-30,137.6309
2006-09-06,137.2693
2006-09-13,136.8514
2006-09-20,137.2014
2006-09-27,136.9411
2006-10-04,137.1081
2006-10-11,137.3129
2006-10-18,137.411
2006-10-25,138.0408
2006-11-01,138.5467
2006-11-08,138.6242
2006-11-15,138.1301
2006-11-22,138.1318
2006-11-29,138.3426
2006-12-06,138.8454
2006-12-13,138.9453
2006-12-20,139.3631
2006-12-27,139.4666
2007-01-03,139.6827
2007-01-10,139.6101
2007-01-17,139.8371
2007-01-24,139.5584
2007-01-31,139.368
2007-02-07,139.6354
2007-02-14,139.6849
2007-02-21,139.7347
2007-02-28,139.6536
2007-03-07,139.7741
2007-03-14,139.8294
2007-03-21,139.7543
2007-03-28,139.8324
2007-04-04,139.9759
2007-04-11,139.9443
2007-04-18,140.0433
2007-04-25,140.1396
2007-05-02,140.3368
2007-05-09,140.5726
2007-05-16,140.5937
2007-05-23,140.4261
2007-05-30,139.9931
2007-06-06,140.1656
2007-06-13,140.0916
2007-06-20,140.2026
2007-06-27,140.0855
2007-07-04,140.2377
2007-07-11,140.5082
2007-07-18,140.5173
2007-07-25,140.4643
2007-08-01,140.4963
2007-08-08,140.8393
2007-08-15,140.9925
2007-08-22,140.273
2007-08-29,140.0913
2007-09-05,140.0598
2007-09-12,140.6336
2007-09-19,141.9751
2007-09-26,142.8521
2007-10-03,146.4658
2007-10-10,147.0368
2007-10-17,146.8057
2007-10-24,146.826
2007-10-31,147.7459
2007-11-07,147.5852
2007-11-14,148.0161
2007-11-21,147.5005
2007-11-28,147.3762
2007-12-05,148.0707
2007-12-12,148.9793
2007-12-19,148.7714
2007-12-26,148.2886
2008-01-02,148.1449
2008-01-09,149.3471
2008-01-16,149.7053
2008-01-23,149.7969
2008-01-30,150.412
2008-02-06,151.2799
2008-02-13,151.9692
2008-02-20,151.929
2008-02-27,152.4252
2008-03-05,153.4156
2008-03-12,156.424
2008-03-19,157.1407
2008-03-26,158.288
2008-04-02,161.0367
2008-04-09,161.4356
2008-04-16,161.316
2008-04-23,157.3242
2008-04-30,155.0746
2008-05-07,158.5361
2008-05-14,157.6697
2008-05-21,155.3645
