,Return_Incl_Costs_BRLUSD Curncy,Return_Incl_Costs_PENUSD Curncy,Return_Incl_Costs_MXNUSD Curncy,Return_Incl_Costs_COPUSD Curncy,Return_Incl_Costs_CLPUSD Curncy,Return_Incl_Costs_CNYUSD Curncy,Return_Incl_Costs_KRWUSD Curncy,Return_Incl_Costs_IDRUSD Curncy,Return_Incl_Costs_INRUSD Curncy,Return_Incl_Costs_PHPUSD Curncy,Return_Incl_Costs_THBUSD Curncy,Return_Incl_Costs_TRYUSD Curncy,Return_Incl_Costs_RUBUSD Curncy,Return_Incl_Costs_ZARUSD Curncy,Return_Incl_Costs_CZKEUR Curncy,Return_Incl_Costs_HUFEUR Curncy,Return_Incl_Costs_PLNEUR Curncy
2010-03-31,451.64180360448694,128.45709988319157,146.83065794435538,167.9564553437684,103.7056596165014,106.56468874241013,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,224.43757868870495,99.98236436812864,138.50709741271453,179.967521712892
2010-04-07,452.3211587046943,128.45709988319157,147.99250220585486,167.9564553437684,102.14355133890855,106.59006513440202,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,224.450935116562,99.98236436812864,138.25411044222065,179.967521712892
2010-04-14,462.31606204806945,128.45709988319157,148.49349962957967,167.9564553437684,102.47537201450524,106.64849657860758,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,223.9831956578602,99.98236436812864,140.39391119181184,179.967521712892
2010-04-21,461.6095176386821,128.45709988319157,149.18599012686943,167.9564553437684,103.15793386708866,106.75779323378079,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,221.04147548290504,99.98236436812864,139.7281148641265,179.967521712892
2010-04-28,462.98767574774564,128.45709988319157,149.111397131806,167.9564553437684,103.43274777460809,106.80476015111867,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,218.9561535930924,99.98236436812864,136.73284862273493,179.967521712892
2010-05-05,451.69504933496404,128.45709988319157,149.111397131806,167.9564553437684,103.38103140072079,106.90709591732741,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,215.54312342921597,99.98236436812864,132.8065761171742,179.967521712892
2010-05-12,457.7784684493535,128.45709988319157,149.111397131806,167.9564553437684,103.38103140072079,107.01492464937962,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,219.76917654816702,99.98236436812864,135.68970375198143,179.967521712892
2010-05-19,445.05066190408934,128.45709988319157,149.111397131806,167.9564553437684,106.75356859130086,107.09033410923325,160.6360471961118,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,87.83246206919934,209.76838588819734,99.98236436812864,135.62185890010545,179.967521712892
2010-05-26,435.33331609192743,128.45709988319157,149.111397131806,167.9564553437684,104.85059616583533,107.14500733718461,172.55522153735896,223.84932891155358,102.26789430919729,103.76442233550245,145.81161947894262,352.214992345422,88.64444352517695,209.66350169525325,99.98236436812864,135.62185890010545,179.967521712892
2010-06-02,435.1156494338815,128.45709988319157,149.111397131806,167.9564553437684,104.22290901255029,107.17386845809213,170.0884743775044,223.84932891155358,101.43355503408236,103.73988035996774,145.81161947894262,352.214992345422,88.36488190218623,209.66350169525325,100.70014123728504,135.62185890010545,179.967521712892
