,US0003M Index
2015-12-16,0.5325
2015-12-23,0.6031
2015-12-30,0.6122
2016-01-06,0.6201
2016-01-13,0.622
2016-01-20,0.6213
2016-01-27,0.6181
2016-02-03,0.6206
2016-02-10,0.6176
2016-02-17,0.6194
2016-02-24,0.6346
2016-03-02,0.63485
2016-03-09,0.6346
2016-03-16,0.639
2016-03-23,0.6301
2016-03-30,0.6251
2016-04-06,0.6306
2016-04-13,0.62835
2016-04-20,0.6351
2016-04-27,0.63835
2016-05-04,0.6341
2016-05-11,0.6266
2016-05-18,0.6356
2016-05-25,0.66655
2016-06-01,0.6813
2016-06-08,0.658
2016-06-15,0.65635
2016-06-22,0.6401
2016-06-29,0.6461
2016-07-06,0.6611
2016-07-13,0.6801
2016-07-20,0.7016
2016-07-27,0.7515
2016-08-03,0.7776
2016-08-10,0.8176
2016-08-17,0.81128
2016-08-24,0.82544
2016-08-31,0.83933
2016-09-07,0.83356
2016-09-14,0.85389
2016-09-21,0.86333
2016-09-28,0.83769
2016-10-05,0.86794
2016-10-12,0.88111
2016-10-19,0.88067
2016-10-26,0.89039
2016-11-02,0.87567
2016-11-09,0.8865
2016-11-16,0.90872
2016-11-23,0.93011
2016-11-30,0.93417
2016-12-07,0.95083
2016-12-14,0.97039
2016-12-21,0.99761
2016-12-28,0.99817
2017-01-04,1.00511
2017-01-11,1.02178
2017-01-18,1.03011
2017-01-25,1.03733
2017-02-01,1.03456
2017-02-08,1.03372
2017-02-15,1.04178
2017-02-22,1.054
2017-03-01,1.09278
2017-03-08,1.109
2017-03-15,1.14817
2017-03-22,1.15678
2017-03-29,1.14678
2017-04-05,1.15039
2017-04-12,1.15844
2017-04-19,1.15567
2017-04-26,1.17178
2017-05-03,1.17122
2017-05-10,1.18094
2017-05-17,1.17839
2017-05-24,1.19761
2017-05-31,1.21
2017-06-07,1.221
2017-06-14,1.25033
2017-06-21,1.28944
2017-06-28,1.29639
2017-07-05,1.303
2017-07-12,1.30389
2017-07-19,1.30722
2017-07-26,1.31389
2017-08-02,1.31278
2017-08-09,1.30917
2017-08-16,1.31667
2017-08-23,1.31722
2017-08-30,1.3161100000000001
2017-09-06,1.31722
2017-09-13,1.32
2017-09-20,1.32306
2017-09-27,1.33278
2017-10-04,1.34667
2017-10-11,1.35861
2017-10-18,1.36261
2017-10-25,1.37446
2017-11-01,1.38483
2017-11-08,1.40981
2017-11-15,1.4219
2017-11-22,1.4623300000000001
2017-11-29,1.4806300000000001
2017-12-06,1.52263
2017-12-13,1.58849
2017-12-20,1.65793
2017-12-27,1.69339
2018-01-03,1.6959300000000002
2018-01-10,1.70911
2018-01-17,1.73918
2018-01-24,1.7524600000000001
2018-01-31,1.7777699999999999
2018-02-07,1.79989
2018-02-14,1.85
2018-02-21,1.91975
2018-02-28,2.01719
2018-03-07,2.05725
2018-03-14,2.145
2018-03-21,2.27108
2018-03-28,2.308
2018-04-04,2.32461
2018-04-11,2.34163
2018-04-18,2.35866
2018-04-25,2.36561
2018-05-02,2.36294
2018-05-09,2.35575
2018-05-16,2.32563
2018-05-23,2.33
2018-05-30,2.30031
2018-06-06,2.32088
2018-06-13,2.34063
2018-06-20,2.33188
2018-06-27,2.33438
2018-07-04,2.33731
2018-07-11,2.337
2018-07-18,2.3475
2018-07-25,2.33688
2018-08-01,2.34825
2018-08-08,2.3405
2018-08-15,2.31175
2018-08-22,2.31175
2018-08-29,2.31263
2018-09-05,2.31681
2018-09-12,2.3315
2018-09-19,2.35338
2018-09-26,2.38613
2018-10-03,2.40825
2018-10-10,2.42519
2018-10-17,2.44963
2018-10-24,2.508
2018-10-31,2.5585
2018-11-07,2.60113
2018-11-14,2.629
2018-11-21,2.67694
2018-11-28,2.70663
2018-12-05,2.76575
2018-12-12,2.7775
2018-12-19,2.78963
2018-12-26,2.81344
2019-01-02,2.79388
2019-01-09,2.79888
2019-01-16,2.78031
2019-01-23,2.77063
2019-01-30,2.73625
2019-02-06,2.7376300000000002
2019-02-13,2.68375
2019-02-20,2.66338
2019-02-27,2.62613
2019-03-06,2.5945
2019-03-13,2.61088
2019-03-20,2.607
2019-03-27,2.601
2019-04-03,2.59775
2019-04-10,2.6035
2019-04-17,2.5915
2019-04-24,2.58638
2019-05-01,2.5755
2019-05-08,2.54513
2019-05-15,2.52513
2019-05-22,2.52475
2019-05-29,2.52175
2019-06-05,2.47163
2019-06-12,2.42788
2019-06-19,2.38613
2019-06-26,2.32988
2019-07-03,2.2885
2019-07-10,2.3395
2019-07-17,2.3025
2019-07-24,2.26663
2019-07-31,2.26563
2019-08-07,2.1845
2019-08-14,2.16838
2019-08-21,2.14763
2019-08-28,2.12413
2019-09-04,2.11238
2019-09-11,2.12725
2019-09-18,2.15588
2019-09-25,2.09963
2019-10-02,2.05638
2019-10-09,1.9842499999999998
2019-10-16,2.00325
2019-10-23,1.93963
2019-10-30,1.90913
2019-11-06,1.90425
2019-11-13,1.90988
