,Inflation_Differential_BRLUSD Curncy,Inflation_Differential_PENUSD Curncy,Inflation_Differential_MXNUSD Curncy,Inflation_Differential_COPUSD Curncy,Inflation_Differential_CLPUSD Curncy,Inflation_Differential_TRYUSD Curncy,Inflation_Differential_RUBUSD Curncy,Inflation_Differential_ZARUSD Curncy,Inflation_Differential_CNYUSD Curncy,Inflation_Differential_KRWUSD Curncy,Inflation_Differential_IDRUSD Curncy,Inflation_Differential_INRUSD Curncy,Inflation_Differential_PHPUSD Curncy,Inflation_Differential_THBUSD Curncy,Inflation_Differential_CZKEUR Curncy,Inflation_Differential_HUFEUR Curncy,Inflation_Differential_PLNEUR Curncy
2000-07-12,4.631833333333333,-0.8514999999999998,3.968083333333334,5.562333333333334,1.1194166666666672,53.86783333333334,16.924083333333336,3.2330833333333335,-1.8832499999999999,0.6701666666666665,8.892,1.8648333333333336,2.904416666666667,-1.3420833333333333,1.7545833333333334,5.8812500000000005,3.348666666666668
2000-07-19,4.631833333333333,-0.8514999999999998,3.968083333333334,5.562333333333334,1.1194166666666672,53.86783333333334,16.924083333333336,3.2330833333333335,-1.8832499999999999,0.6701666666666665,8.892,1.8648333333333336,2.904416666666667,-1.3420833333333333,1.7545833333333334,5.8812500000000005,3.348666666666668
2000-07-26,4.631833333333333,-0.8514999999999998,3.968083333333334,5.562333333333334,1.1194166666666672,53.86783333333334,16.924083333333336,3.2330833333333335,-1.8832499999999999,0.6701666666666665,8.892,1.8648333333333336,2.904416666666667,-1.3420833333333333,1.7545833333333334,5.8812500000000005,3.348666666666668
2000-08-02,4.631833333333333,-0.8514999999999998,3.968083333333334,5.562333333333334,1.1194166666666672,53.86783333333334,16.924083333333336,3.2330833333333335,-1.8832499999999999,0.6701666666666665,8.892,1.8648333333333336,2.904416666666667,-1.3420833333333333,1.7545833333333334,5.8812500000000005,3.348666666666668
2000-08-09,4.929666666666667,-1.017,3.7446666666666664,5.630666666666666,1.1183333333333336,56.481666666666676,16.94566666666667,3.209666666666667,-1.8769999999999998,0.8583333333333332,9.318999999999999,2.201666666666667,2.9143333333333334,-1.2706666666666664,1.803666666666667,5.649,2.979333333333333
2000-08-16,4.929666666666667,-1.017,3.7446666666666664,5.630666666666666,1.1183333333333336,56.481666666666676,16.94566666666667,3.209666666666667,-1.8769999999999998,0.8583333333333332,9.318999999999999,2.201666666666667,2.9143333333333334,-1.2706666666666664,1.803666666666667,5.649,2.979333333333333
2000-08-23,4.929666666666667,-1.017,3.7446666666666664,5.630666666666666,1.1183333333333336,56.481666666666676,16.94566666666667,3.209666666666667,-1.8769999999999998,0.8583333333333332,9.318999999999999,2.201666666666667,2.9143333333333334,-1.2706666666666664,1.803666666666667,5.649,2.979333333333333
2000-08-30,4.929666666666667,-1.017,3.7446666666666664,5.630666666666666,1.1183333333333336,56.481666666666676,16.94566666666667,3.209666666666667,-1.8769999999999998,0.8583333333333332,9.318999999999999,2.201666666666667,2.9143333333333334,-1.2706666666666664,1.803666666666667,5.649,2.979333333333333
2000-09-06,4.929666666666667,-1.017,3.7446666666666664,5.630666666666666,1.1183333333333336,56.481666666666676,16.94566666666667,3.209666666666667,-1.8769999999999998,0.8583333333333332,9.318999999999999,2.201666666666667,2.9143333333333334,-1.2706666666666664,1.803666666666667,5.649,2.979333333333333
2000-09-13,5.227499999999999,-1.1825,3.5212499999999993,5.699,1.1172499999999999,59.0955,16.96725,3.1862500000000002,-1.87075,1.0464999999999995,9.745999999999999,2.538500000000001,2.9242500000000002,-1.1992500000000001,1.8527500000000006,5.4167499999999995,2.6100000000000003
2000-09-20,5.227499999999999,-1.1825,3.5212499999999993,5.699,1.1172499999999999,59.0955,16.96725,3.1862500000000002,-1.87075,1.0464999999999995,9.745999999999999,2.538500000000001,2.9242500000000002,-1.1992500000000001,1.8527500000000006,5.4167499999999995,2.6100000000000003
2000-09-27,5.227499999999999,-1.1825,3.5212499999999993,5.699,1.1172499999999999,59.0955,16.96725,3.1862500000000002,-1.87075,1.0464999999999995,9.745999999999999,2.538500000000001,2.9242500000000002,-1.1992500000000001,1.8527500000000006,5.4167499999999995,2.6100000000000003
2000-10-04,5.227499999999999,-1.1825,3.5212499999999993,5.699,1.1172499999999999,59.0955,16.96725,3.1862500000000002,-1.87075,1.0464999999999995,9.745999999999999,2.538500000000001,2.9242500000000002,-1.1992500000000001,1.8527500000000006,5.4167499999999995,2.6100000000000003
2000-10-11,5.525333333333334,-1.3480000000000003,3.2978333333333323,5.767333333333333,1.1161666666666663,61.70933333333334,16.988833333333332,3.162833333333333,-1.8645000000000003,1.2346666666666666,10.173000000000002,2.8753333333333333,2.934166666666666,-1.1278333333333337,1.9018333333333333,5.1845,2.240666666666666
2000-10-18,5.525333333333334,-1.3480000000000003,3.2978333333333323,5.767333333333333,1.1161666666666663,61.70933333333334,16.988833333333332,3.162833333333333,-1.8645000000000003,1.2346666666666666,10.173000000000002,2.8753333333333333,2.934166666666666,-1.1278333333333337,1.9018333333333333,5.1845,2.240666666666666
2000-10-25,5.525333333333334,-1.3480000000000003,3.2978333333333323,5.767333333333333,1.1161666666666663,61.70933333333334,16.988833333333332,3.162833333333333,-1.8645000000000003,1.2346666666666666,10.173000000000002,2.8753333333333333,2.934166666666666,-1.1278333333333337,1.9018333333333333,5.1845,2.240666666666666
2000-11-01,5.525333333333334,-1.3480000000000003,3.2978333333333323,5.767333333333333,1.1161666666666663,61.70933333333334,16.988833333333332,3.162833333333333,-1.8645000000000003,1.2346666666666666,10.173000000000002,2.8753333333333333,2.934166666666666,-1.1278333333333337,1.9018333333333333,5.1845,2.240666666666666
2000-11-08,5.823166666666666,-1.5135,3.074416666666666,5.835666666666667,1.1150833333333332,64.32316666666668,17.010416666666668,3.1394166666666665,-1.8582500000000002,1.422833333333333,10.6,3.2121666666666675,2.9440833333333334,-1.0564166666666668,1.9509166666666664,4.952249999999999,1.8713333333333335
2000-11-15,5.823166666666666,-1.5135,3.074416666666666,5.835666666666667,1.1150833333333332,64.32316666666668,17.010416666666668,3.1394166666666665,-1.8582500000000002,1.422833333333333,10.6,3.2121666666666675,2.9440833333333334,-1.0564166666666668,1.9509166666666664,4.952249999999999,1.8713333333333335
2000-11-22,5.823166666666666,-1.5135,3.074416666666666,5.835666666666667,1.1150833333333332,64.32316666666668,17.010416666666668,3.1394166666666665,-1.8582500000000002,1.422833333333333,10.6,3.2121666666666675,2.9440833333333334,-1.0564166666666668,1.9509166666666664,4.952249999999999,1.8713333333333335
2000-11-29,5.823166666666666,-1.5135,3.074416666666666,5.835666666666667,1.1150833333333332,64.32316666666668,17.010416666666668,3.1394166666666665,-1.8582500000000002,1.422833333333333,10.6,3.2121666666666675,2.9440833333333334,-1.0564166666666668,1.9509166666666664,4.952249999999999,1.8713333333333335
2000-12-06,5.823166666666666,-1.5135,3.074416666666666,5.835666666666667,1.1150833333333332,64.32316666666668,17.010416666666668,3.1394166666666665,-1.8582500000000002,1.422833333333333,10.6,3.2121666666666675,2.9440833333333334,-1.0564166666666668,1.9509166666666664,4.952249999999999,1.8713333333333335
2000-12-13,6.121,-1.6789999999999998,2.8509999999999995,5.904,1.1139999999999999,66.937,17.032,3.116,-1.852,1.611,11.027000000000001,3.549,2.954,-0.9850000000000001,1.9999999999999998,4.719999999999999,1.5020000000000007
2000-12-20,6.121,-1.6789999999999998,2.8509999999999995,5.904,1.1139999999999999,66.937,17.032,3.116,-1.852,1.611,11.027000000000001,3.549,2.954,-0.9850000000000001,1.9999999999999998,4.719999999999999,1.5020000000000007
2000-12-27,6.121,-1.6789999999999998,2.8509999999999995,5.904,1.1139999999999999,66.937,17.032,3.116,-1.852,1.611,11.027000000000001,3.549,2.954,-0.9850000000000001,1.9999999999999998,4.719999999999999,1.5020000000000007
2001-01-03,6.121,-1.6789999999999998,2.8509999999999995,5.904,1.1139999999999999,66.937,17.032,3.116,-1.852,1.611,11.027000000000001,3.549,2.954,-0.9850000000000001,1.9999999999999998,4.719999999999999,1.5020000000000007
2001-01-10,6.437083333333334,-1.63075,2.8704166666666664,5.763333333333333,1.0419999999999998,63.616333333333344,16.64933333333333,3.675083333333333,-1.949,1.5699166666666666,10.71825,3.3505,2.7109166666666664,-0.9798333333333334,1.6954999999999998,4.5360000000000005,1.2510000000000001
2001-01-17,6.437083333333334,-1.63075,2.8704166666666664,5.763333333333333,1.0419999999999998,63.616333333333344,16.64933333333333,3.675083333333333,-1.949,1.5699166666666666,10.71825,3.3505,2.7109166666666664,-0.9798333333333334,1.6954999999999998,4.5360000000000005,1.2510000000000001
2001-01-24,6.437083333333334,-1.63075,2.8704166666666664,5.763333333333333,1.0419999999999998,63.616333333333344,16.64933333333333,3.675083333333333,-1.949,1.5699166666666666,10.71825,3.3505,2.7109166666666664,-0.9798333333333334,1.6954999999999998,4.5360000000000005,1.2510000000000001
2001-01-31,6.437083333333334,-1.63075,2.8704166666666664,5.763333333333333,1.0419999999999998,63.616333333333344,16.64933333333333,3.675083333333333,-1.949,1.5699166666666666,10.71825,3.3505,2.7109166666666664,-0.9798333333333334,1.6954999999999998,4.5360000000000005,1.2510000000000001
2001-02-07,6.437083333333334,-1.63075,2.8704166666666664,5.763333333333333,1.0419999999999998,63.616333333333344,16.64933333333333,3.675083333333333,-1.949,1.5699166666666666,10.71825,3.3505,2.7109166666666664,-0.9798333333333334,1.6954999999999998,4.5360000000000005,1.2510000000000001
2001-02-14,6.753166666666665,-1.5825000000000002,2.8898333333333333,5.6226666666666665,0.97,60.29566666666667,16.266666666666666,4.234166666666667,-2.046,1.5288333333333328,10.409500000000001,3.152,2.4678333333333335,-0.9746666666666668,1.3910000000000002,4.352,0.9999999999999999
2001-02-21,6.753166666666665,-1.5825000000000002,2.8898333333333333,5.6226666666666665,0.97,60.29566666666667,16.266666666666666,4.234166666666667,-2.046,1.5288333333333328,10.409500000000001,3.152,2.4678333333333335,-0.9746666666666668,1.3910000000000002,4.352,0.9999999999999999
2001-02-28,6.753166666666665,-1.5825000000000002,2.8898333333333333,5.6226666666666665,0.97,60.29566666666667,16.266666666666666,4.234166666666667,-2.046,1.5288333333333328,10.409500000000001,3.152,2.4678333333333335,-0.9746666666666668,1.3910000000000002,4.352,0.9999999999999999
2001-03-07,6.753166666666665,-1.5825000000000002,2.8898333333333333,5.6226666666666665,0.97,60.29566666666667,16.266666666666666,4.234166666666667,-2.046,1.5288333333333328,10.409500000000001,3.152,2.4678333333333335,-0.9746666666666668,1.3910000000000002,4.352,0.9999999999999999
2001-03-14,7.069249999999999,-1.5342500000000001,2.9092499999999992,5.482000000000001,0.8979999999999995,56.97500000000001,15.883999999999999,4.7932500000000005,-2.1430000000000002,1.4877499999999995,10.100750000000001,2.9535000000000005,2.22475,-0.9695000000000003,1.0865000000000002,4.167999999999999,0.7490000000000007
2001-03-21,7.069249999999999,-1.5342500000000001,2.9092499999999992,5.482000000000001,0.8979999999999995,56.97500000000001,15.883999999999999,4.7932500000000005,-2.1430000000000002,1.4877499999999995,10.100750000000001,2.9535000000000005,2.22475,-0.9695000000000003,1.0865000000000002,4.167999999999999,0.7490000000000007
2001-03-28,7.069249999999999,-1.5342500000000001,2.9092499999999992,5.482000000000001,0.8979999999999995,56.97500000000001,15.883999999999999,4.7932500000000005,-2.1430000000000002,1.4877499999999995,10.100750000000001,2.9535000000000005,2.22475,-0.9695000000000003,1.0865000000000002,4.167999999999999,0.7490000000000007
2001-04-04,7.069249999999999,-1.5342500000000001,2.9092499999999992,5.482000000000001,0.8979999999999995,56.97500000000001,15.883999999999999,4.7932500000000005,-2.1430000000000002,1.4877499999999995,10.100750000000001,2.9535000000000005,2.22475,-0.9695000000000003,1.0865000000000002,4.167999999999999,0.7490000000000007
2001-04-11,7.385333333333331,-1.4859999999999998,2.9286666666666665,5.341333333333333,0.8260000000000003,53.65433333333334,15.501333333333333,5.352333333333334,-2.2399999999999998,1.4466666666666659,9.792,2.7549999999999994,1.9816666666666667,-0.9643333333333334,0.7819999999999997,3.9839999999999995,0.49799999999999983
