,PENUSD Curncy
2009-06-10,0.335469
2009-06-17,0.333
2009-06-24,0.330415
2009-07-01,0.332652
2009-07-08,0.32987
2009-07-15,0.332226
2009-07-22,0.332524
2009-07-29,0.334515
2009-08-05,0.338983
2009-08-12,0.341542
2009-08-19,0.337952
2009-08-26,0.338295
2009-09-02,0.339328
2009-09-09,0.341764
2009-09-16,0.345006
2009-09-23,0.349162
2009-09-30,0.346861
2009-10-07,0.348797
2009-10-14,0.350201
2009-10-21,0.349865
2009-10-28,0.343997
2009-11-04,0.344768
2009-11-11,0.348129
2009-11-18,0.349284
2009-11-25,0.347102
2009-12-02,0.347464
2009-12-09,0.347584
2009-12-16,0.348371
2009-12-23,0.346861
2009-12-30,0.346261
2010-01-06,0.348858
2010-01-13,0.351309
2010-01-20,0.350508
2010-01-27,0.349406
2010-02-03,0.350754
2010-02-10,0.350018
2010-02-17,0.351062
2010-02-24,0.351309
2010-03-03,0.351556
2010-03-10,0.352237
2010-03-17,0.352547
2010-03-24,0.352547
2010-03-31,0.351853
2010-04-07,0.352423
2010-04-14,0.352672
2010-04-21,0.351927
2010-04-28,0.351185
2010-05-05,0.351087
2010-05-12,0.352361
2010-05-19,0.351309
2010-05-26,0.351185
2010-06-02,0.351556
2010-06-09,0.351494
2010-06-16,0.352473
2010-06-23,0.353544
2010-06-30,0.35392
2010-07-07,0.354189
2010-07-14,0.355114
2010-07-21,0.35392
2010-07-28,0.354296
2010-08-04,0.356952
2010-08-11,0.356316
2010-08-18,0.357398
2010-08-25,0.357334
2010-09-01,0.357782
2010-09-08,0.357974
2010-09-15,0.358725
2010-09-22,0.358359
2010-09-29,0.358899
2010-10-06,0.358295
2010-10-13,0.359067
2010-10-20,0.358487
2010-10-27,0.357334
2010-11-03,0.357839
2010-11-10,0.357462
2010-11-17,0.355999
2010-11-24,0.356062
2010-12-01,0.353794
2010-12-08,0.35495
2010-12-15,0.354862
2010-12-22,0.356952
2010-12-29,0.356506
2011-01-05,0.356952
2011-01-12,0.358487
2011-01-19,0.360295
2011-01-26,0.360777
2011-02-02,0.361598
2011-02-09,0.361207
2011-02-16,0.361141
2011-02-23,0.35852
2011-03-02,0.360685
2011-03-09,0.361324
2011-03-16,0.360946
2011-03-23,0.359971
2011-03-30,0.356125
2011-04-06,0.355745
2011-04-13,0.355177
2011-04-20,0.354799
2011-04-27,0.353039
2011-05-04,0.354296
2011-05-11,0.357718
2011-05-18,0.363372
2011-05-25,0.363848
2011-06-01,0.359906
2011-06-08,0.360263
2011-06-15,0.361991
2011-06-22,0.363115
2011-06-29,0.363207
2011-07-06,0.363802
2011-07-13,0.364704
2011-07-20,0.36503
2011-07-27,0.36543
2011-08-03,0.364564
2011-08-10,0.363637
2011-08-17,0.364698
2011-08-24,0.366032
2011-08-31,0.366898
2011-09-07,0.366973
2011-09-14,0.366166
2011-09-21,0.362582
2011-09-28,0.361206
2011-10-05,0.361011
2011-10-12,0.367296
2011-10-19,0.367175
2011-10-26,0.367918
2011-11-02,0.369004
2011-11-09,0.369208
2011-11-16,0.370096
2011-11-23,0.369789
2011-11-30,0.369072
2011-12-07,0.370782
2011-12-14,0.370691
2011-12-21,0.371264
2011-12-28,0.371251
2012-01-04,0.371126
2012-01-11,0.371402
2012-01-18,0.371299
2012-01-25,0.371264
2012-02-01,0.371886
2012-02-08,0.372093
2012-02-15,0.372648
2012-02-22,0.373799
2012-02-29,0.373445
2012-03-07,0.374042
2012-03-14,0.374602
2012-03-21,0.374462
2012-03-28,0.374742
2012-04-04,0.374883
2012-04-11,0.375305
2012-04-18,0.376719
2012-04-25,0.37743
2012-05-02,0.379291
2012-05-09,0.377858
2012-05-16,0.375164
2012-05-23,0.371264
2012-05-30,0.369754
2012-06-06,0.373134
2012-06-13,0.373343
2012-06-20,0.378373
2012-06-27,0.375446
2012-07-04,0.377715
2012-07-11,0.379867
2012-07-18,0.381752
2012-07-25,0.379147
2012-08-01,0.381316
2012-08-08,0.382044
2012-08-15,0.382556
2012-08-22,0.382527
2012-08-29,0.383215
2012-09-05,0.382914
2012-09-12,0.383804
2012-09-19,0.384394
2012-09-26,0.385104
2012-10-03,0.384978
2012-10-10,0.386772
2012-10-17,0.387642
2012-10-24,0.387072
2012-10-31,0.385431
2012-11-07,0.383656
2012-11-14,0.383951
2012-11-21,0.385431
2012-11-28,0.386623
2012-12-05,0.387567
2012-12-12,0.389484
2012-12-19,0.390168
2012-12-26,0.391451
2013-01-02,0.392003
2013-01-09,0.39208
2013-01-16,0.39285
2013-01-23,0.391543
2013-01-30,0.390549
2013-02-06,0.387898
2013-02-13,0.389029
2013-02-20,0.387222
2013-02-27,0.387672
2013-03-06,0.384764
2013-03-13,0.385654
2013-03-20,0.385728
2013-03-27,0.386026
2013-04-03,0.386474
2013-04-10,0.387823
2013-04-17,0.386101
2013-04-24,0.380373
2013-05-01,0.377929
2013-05-08,0.382556
2013-05-15,0.381359
2013-05-22,0.376719
2013-05-29,0.371886
2013-06-05,0.368256
2013-06-12,0.36503
2013-06-19,0.364499
2013-06-26,0.359777
2013-07-03,0.358744
2013-07-10,0.35868
2013-07-17,0.362779
2013-07-24,0.359454
2013-07-31,0.35791
2013-08-07,0.357079
2013-08-14,0.357462
2013-08-21,0.354484
2013-08-28,0.355872
2013-09-04,0.356506
2013-09-11,0.358192
2013-09-18,0.360464
2013-09-25,0.361664
2013-10-02,0.359842
2013-10-09,0.358423
2013-10-16,0.362319
2013-10-23,0.362293
2013-10-30,0.362976
2013-11-06,0.358552
2013-11-13,0.357207
2013-11-20,0.35657
2013-11-27,0.356965
2013-12-04,0.356697
2013-12-11,0.35823
2013-12-18,0.35897
2013-12-25,0.359325
2014-01-01,0.357705
2014-01-08,0.35657
2014-01-15,0.356379
2014-01-22,0.356189
2014-01-29,0.35417
2014-02-05,0.354045
2014-02-12,0.355177
2014-02-19,0.356125
2014-02-26,0.356062
2014-03-05,0.357271
2014-03-12,0.356316
2014-03-19,0.356189
2014-03-26,0.355619
2014-04-02,0.356202
2014-04-09,0.35759
2014-04-16,0.359131
2014-04-23,0.35823
2014-04-30,0.356189
2014-05-07,0.357207
2014-05-14,0.359131
2014-05-21,0.358474
2014-05-28,0.360881
2014-06-04,0.358951
2014-06-11,0.357207
2014-06-18,0.356824
2014-06-25,0.356633
2014-07-02,0.357718
2014-07-09,0.360101
2014-07-16,0.359131
2014-07-23,0.358873
2014-07-30,0.358359
2014-08-06,0.355967
2014-08-13,0.357718
2014-08-20,0.353857
2014-08-27,0.351915
2014-09-03,0.350939
2014-09-10,0.350582
2014-09-17,0.349773
2014-09-24,0.346921
2014-10-01,0.345722
2014-10-08,0.343909
2014-10-15,0.343938
2014-10-22,0.343997
2014-10-29,0.343112
2014-11-05,0.34153
2014-11-12,0.340513
2014-11-19,0.341355
2014-11-26,0.343377
2014-12-03,0.339963
2014-12-10,0.33761
2014-12-17,0.337724
2014-12-24,0.335239
2014-12-31,0.335909
2015-01-07,0.334784
2015-01-14,0.333723
2015-01-21,0.332502
2015-01-28,0.330688
2015-02-04,0.326345
2015-02-11,0.323572
2015-02-18,0.324097
2015-02-25,0.32305
2015-03-04,0.323259
2015-03-11,0.322685
2015-03-18,0.322581
2015-03-25,0.325733
2015-04-01,0.323311
2015-04-08,0.322113
2015-04-15,0.319898
2015-04-22,0.319193
2015-04-29,0.32077
2015-05-06,0.317965
2015-05-13,0.317183
2015-05-20,0.316606
2015-05-27,0.317008
2015-06-03,0.317158
2015-06-10,0.317158
2015-06-17,0.315906
2015-06-24,0.314911
2015-07-01,0.314218
2015-07-08,0.313923
2015-07-15,0.314465
2015-07-22,0.313947
2015-07-29,0.314075
2015-08-05,0.312207
2015-08-12,0.309502
2015-08-19,0.307361
2015-08-26,0.302206
2015-09-02,0.307366
2015-09-09,0.310078
2015-09-16,0.312295
2015-09-23,0.309789
2015-09-30,0.31027
2015-10-07,0.310424
2015-10-14,0.308452
2015-10-21,0.306796
2015-10-28,0.304971
2015-11-04,0.304044
2015-11-11,0.301705
2015-11-18,0.297841
2015-11-25,0.295395
2015-12-02,0.296714
2015-12-09,0.29634
2015-12-16,0.296824
2015-12-23,0.294421
2015-12-30,0.293212
2016-01-06,0.292954
2016-01-13,0.29209
2016-01-20,0.290149
2016-01-27,0.288555
2016-02-03,0.286492
2016-02-10,0.285022
2016-02-17,0.285673
2016-02-24,0.282925
2016-03-02,0.284572
2016-03-09,0.290994
2016-03-16,0.295338
2016-03-23,0.295282
2016-03-30,0.297947
2016-04-06,0.29599
2016-04-13,0.305811
2016-04-20,0.308215
2016-04-27,0.304414
2016-05-04,0.300107
2016-05-11,0.300499
2016-05-18,0.30125
2016-05-25,0.299581
2016-06-01,0.295718
2016-06-08,0.302865
2016-06-15,0.301773
2016-06-22,0.304586
2016-06-29,0.30349
2016-07-06,0.305018
2016-07-13,0.304925
2016-07-20,0.301937
2016-07-27,0.298254
2016-08-03,0.298467
2016-08-10,0.302316
2016-08-17,0.301296
2016-08-24,0.298463
2016-08-31,0.294416
2016-09-07,0.297535
2016-09-14,0.294772
2016-09-21,0.296274
2016-09-28,0.295897
2016-10-05,0.294248
2016-10-12,0.293725
2016-10-19,0.295919
2016-10-26,0.297044
2016-11-02,0.295587
2016-11-09,0.297022
2016-11-16,0.293131
2016-11-23,0.292184
2016-11-30,0.292826
2016-12-07,0.293643
2016-12-14,0.295038
2016-12-21,0.294725
2016-12-28,0.297619
2017-01-04,0.29557
2017-01-11,0.295334
2017-01-18,0.2989
2017-01-25,0.303905
2017-02-01,0.305575
2017-02-08,0.304464
2017-02-15,0.308357
2017-02-22,0.308422
2017-03-01,0.306857
2017-03-08,0.303214
2017-03-15,0.306373
2017-03-22,0.308262
2017-03-29,0.30794
2017-04-05,0.308091
2017-04-12,0.307418
2017-04-19,0.307612
2017-04-26,0.307333
2017-05-03,0.307645
2017-05-10,0.303998
2017-05-17,0.30581
2017-05-24,0.305577
2017-05-31,0.305577
2017-06-07,0.305624
2017-06-14,0.305829
2017-06-21,0.305577
2017-06-28,0.30774
2017-07-05,0.306485
2017-07-12,0.30755
2017-07-19,0.308575
2017-07-26,0.307977
2017-08-02,0.308499
2017-08-09,0.307882
2017-08-16,0.308357
2017-08-23,0.308938
2017-08-30,0.308262
2017-09-06,0.309081
2017-09-13,0.309892
2017-09-20,0.308195
2017-09-27,0.305204
2017-10-04,0.307031
2017-10-11,0.306163
2017-10-18,0.308499
2017-10-25,0.309186
2017-11-01,0.307692
2017-11-08,0.308309
2017-11-15,0.307116
2017-11-22,0.308833
2017-11-29,0.309387
2017-12-06,0.3091
2017-12-13,0.30933
2017-12-20,0.305998
2017-12-27,0.308499
2018-01-03,0.310434
2018-01-10,0.310316
2018-01-17,0.311449
2018-01-24,0.311333
2018-01-31,0.310897
2018-02-07,0.307503
2018-02-14,0.307078
2018-02-21,0.307347
2018-02-28,0.306087
2018-03-07,0.307239
2018-03-14,0.306937
2018-03-21,0.307456
2018-03-28,0.309933
2018-04-04,0.31003
2018-04-11,0.309267
2018-04-18,0.310849
2018-04-25,0.308623
2018-05-02,0.305577
2018-05-09,0.303628
2018-05-16,0.306068
2018-05-23,0.305904
2018-05-30,0.305624
2018-06-06,0.306909
2018-06-13,0.306391
2018-06-20,0.304609
2018-06-27,0.305824
2018-07-04,0.303702
2018-07-11,0.304925
2018-07-18,0.305754
2018-07-25,0.305624
2018-08-01,0.30553
2018-08-08,0.305857
2018-08-15,0.301205
2018-08-22,0.30447
2018-08-29,0.30373
2018-09-05,0.301682
2018-09-12,0.300215
2018-09-19,0.302842
2018-09-26,0.30259
2018-10-03,0.301832
2018-10-10,0.300291
2018-10-17,0.29985
2018-10-24,0.299312
2018-10-31,0.296965
2018-11-07,0.29731
2018-11-14,0.295902
2018-11-21,0.296174
2018-11-28,0.296402
2018-12-05,0.295893
2018-12-12,0.297943
2018-12-19,0.298321
2018-12-26,0.296692
2019-01-02,0.296824
2019-01-09,0.300008
2019-01-16,0.30003
2019-01-23,0.299536
2019-01-30,0.297814
2019-02-06,0.30116
2019-02-13,0.299446
2019-02-20,0.300992
2019-02-27,0.302732
2019-03-06,0.302362
2019-03-13,0.303638
2019-03-20,0.303721
2019-03-27,0.301455
2019-04-03,0.303196
2019-04-10,0.303536
2019-04-17,0.303444
2019-04-24,0.300391
2019-05-01,0.302563
2019-05-08,0.301741
2019-05-15,0.301065
2019-05-22,0.298824
2019-05-29,0.297965
2019-06-05,0.298405
2019-06-12,0.300044
2019-06-19,0.300075
2019-06-26,0.303003
2019-07-03,0.303583
2019-07-10,0.304335
2019-07-17,0.304382
2019-07-24,0.303688
2019-07-31,0.302298
2019-08-07,0.295736
2019-08-14,0.294738
2019-08-21,0.296086
2019-08-28,0.29456
2019-09-04,0.295217
2019-09-11,0.299057
2019-09-18,0.299088
2019-09-25,0.298503
2019-10-02,0.294811
2019-10-09,0.296472
2019-10-16,0.297221
2019-10-23,0.299025
2019-10-30,0.299043
2019-11-06,0.299003
2019-11-13,0.295159
2019-11-20,0.29536
2019-11-27,0.294898
2019-12-04,0.295679
2019-12-11,0.294703
2019-12-18,0.29985
2019-12-25,0.30175
2020-01-01,0.301846
2020-01-08,0.301273
2020-01-15,0.300707
2020-01-22,0.301641
2020-01-29,0.298838
2020-02-05,0.297531
2020-02-12,0.29567
2020-02-19,0.295613
2020-02-26,0.293199
2020-03-04,0.292014
2020-03-11,0.28475
2020-03-18,0.279932
2020-03-25,0.284983
2020-04-01,0.288131
2020-04-08,0.298896
2020-04-15,0.292603
2020-04-22,0.296437
2020-04-29,0.296736
2020-05-06,0.293259
